,apple,aquarium_fish,baby,bear,beaver,bed,bee,beetle,bicycle,bottle,bowl,boy,bridge,bus,butterfly,camel,can,castle,caterpillar,cattle,chair,chimpanzee,clock,cloud,cockroach,couch,crab,crocodile,cup,dinosaur,dolphin,elephant,flatfish,forest,fox,girl,hamster,house,kangaroo,keyboard,lamp,lawn_mower,leopard,lion,lizard,lobster,man,maple_tree,motorcycle,mountain,mouse,mushroom,oak_tree,orange,orchid,otter,palm_tree,pear,pickup_truck,pine_tree,plain,plate,poppy,porcupine,possum,rabbit,raccoon,ray,road,rocket,rose,sea,seal,shark,shrew,skunk,skyscraper,snail,snake,spider,squirrel,streetcar,sunflower,sweet_pepper,table,tank,telephone,television,tiger,tractor,train,trout,tulip,turtle,wardrobe,whale,willow_tree,wolf,woman,worm
apple,0.0,0.785176902924645,0.7534647185121203,0.8339814570876223,0.7870124029601024,0.8838815419569138,0.8201221372218135,0.7405610054899574,0.7880267254898083,0.7679398544803847,0.6034047424457705,0.7454038685288009,0.8486927712737817,0.8219365625453601,0.8302949650792844,0.8203206507584327,0.7326454226016351,0.842033457970134,0.8180320319457787,0.7914139649967715,0.8067373608412499,0.7844469125654622,0.7282143418575553,0.7921998147204257,0.7936498540352399,0.8280576618810028,0.763971639940643,0.8212528514740192,0.71680657940229,0.8017640323183044,0.8446120707492364,0.8171170030001205,0.7420265264816694,0.8077597844392765,0.8475768691895499,0.7623570137303484,0.788910419399044,0.8238931977070376,0.828524971090768,0.7933686429070692,0.7263347075273502,0.7774386459930103,0.8942003260062739,0.8080851593848448,0.7688798069887662,0.6996939924203344,0.76877347339586,0.7653296891068928,0.7929540256279428,0.8019876156686129,0.7600113203107497,0.8011172031181274,0.7710624318239281,0.49307425162786755,0.8078415858682888,0.7539404528242696,0.8133527906609668,0.34205617764909146,0.7852609865615512,0.788662427574137,0.7464511461021008,0.7075507114396117,0.7654415827127174,0.8381934852324111,0.8208768547862637,0.768718702907887,0.8361313740424361,0.7663214044960943,0.8222580344156347,0.8604127040014724,0.7667432834801953,0.785493664689682,0.7569665703924715,0.799791541172394,0.7889273561279564,0.8397160793791485,0.865425442971969,0.6739511795003007,0.7574184673112225,0.8072979649400458,0.8191033992499395,0.8069610740505118,0.7535195593716641,0.39618722336299883,0.783537783821837,0.7981932780377994,0.7945305822996547,0.7590212811413656,0.8286740554315398,0.7993845518038663,0.7781876992915344,0.7787101511889498,0.718041654117419,0.8460413440014738,0.8090856129913387,0.8243126362071131,0.7556776776833449,0.8337670067967514,0.7705395006977966,0.7212708434337575
aquarium_fish,0.785176902924645,0.0,0.7430097400262421,0.7292849984741547,0.6249853987525408,0.8067017505960772,0.6539016029398377,0.6443010196676762,0.7931999280165306,0.7854626424539626,0.6980101519154258,0.7351963433403645,0.8037794803401365,0.8008916759653297,0.6630698667929777,0.7768275502876636,0.7685876106247811,0.8133509173002019,0.6691204016900594,0.757955742294765,0.8257202285745306,0.7689694888799441,0.7972666201097514,0.7951754139424808,0.7128458333096652,0.7923937812827957,0.635892065958123,0.6241459208770177,0.7899290194356327,0.6299953099065263,0.6596224630479244,0.7924976466694686,0.45665958385278094,0.7471639918352725,0.6764538416042742,0.7371773616627115,0.6330589558385169,0.7597388621266168,0.7251513624973159,0.8957921176091229,0.7585712612940106,0.833996998885454,0.7301444181591639,0.7427964164680467,0.5553085512958491,0.5308938262515432,0.7518985247477495,0.7893745259561098,0.7551608775455759,0.8519651823899943,0.5841791081044038,0.6886702121161934,0.8355066553211222,0.7598723265682941,0.760139101606692,0.6355562644198895,0.8219057360516385,0.7405509178942775,0.7598358824487912,0.7931805613247859,0.8145616840661104,0.752378937820313,0.6605056293274129,0.7036948094539388,0.6798695433465889,0.6387604300525964,0.7649206887525373,0.5032665768791535,0.8722988521999687,0.7885629357154726,0.721774204252774,0.8254279906723253,0.6287191374678738,0.496565019836553,0.5979996719872003,0.7077489351903345,0.8335085806919127,0.6309996406048323,0.7345069284565428,0.701632809585596,0.6028872776444962,0.829919201313194,0.7803173720792063,0.7849676408606368,0.7951448653661748,0.8117891765233908,0.8570257413283126,0.80665422108093,0.7044473391167494,0.8152750171254426,0.7608434485789137,0.27831214851351993,0.6818564664084266,0.5242730552748478,0.8456558944331374,0.6965960154809137,0.7713509001287854,0.7685711577080384,0.7776826056067253,0.731744602779831
baby,0.7534647185121203,0.7430097400262421,0.0,0.6508317617153574,0.6403020948665598,0.6773116767114791,0.7045853923859757,0.7480548258449737,0.7434284489495888,0.7688822039793758,0.6415541695478354,0.1614092577064017,0.7358386609330383,0.7092367815160248,0.757731382442571,0.7037661447194175,0.7390862456733776,0.7118123440108426,0.7580390379449582,0.7197545509465432,0.7809718365429037,0.6284697846856484,0.786520441683422,0.692714042356247,0.8224323071624933,0.6780768075116972,0.6762407290398595,0.6536969166329323,0.7726676950343053,0.6955454672502488,0.7732815618121814,0.7511953661098407,0.5629876101097928,0.6726867239433663,0.7425866956637287,0.1887688566781056,0.6464928072552436,0.660929071919501,0.7366917205081439,0.7592343847270034,0.6928159086966438,0.6806195433710283,0.726168874699832,0.7536422408477621,0.6198303137902809,0.6065616352354599,0.39336232459264253,0.6744162534709564,0.6835403276844536,0.7586640398535294,0.6411279565084581,0.7662183453096099,0.6836929134464427,0.8097102529411727,0.8093745942962364,0.5814564175272934,0.7369473871163654,0.6876484648611683,0.7072911502721971,0.653520484787343,0.730964497942522,0.6986529822146936,0.8388772759867146,0.6937840649458296,0.6573609376826639,0.5913329691866532,0.7265022999565431,0.6989447905673125,0.7747220028780576,0.7309805640729838,0.7772321573367614,0.7211716362765878,0.5916218401604757,0.7529228183527423,0.6629983695765018,0.685797566062514,0.7708743042232237,0.6697660808909978,0.7777822601637154,0.7271274341631015,0.6298645024826388,0.7397318188459427,0.8597114890596917,0.8100296697793419,0.6766846234642948,0.687992333211774,0.7961378538401109,0.6712610918854296,0.7476744412608629,0.7212363042638836,0.7269705209166506,0.7217619516380522,0.8157885473986126,0.7075735181107706,0.7522296323828509,0.7820287886467079,0.6635464224597124,0.7269838454810652,0.3815697017400601,0.7834722263820709
bear,0.8339814570876223,0.7292849984741547,0.6508317617153574,0.0,0.22354536517188817,0.7778921613037055,0.6594164464388494,0.6532508588068429,0.7493715472410953,0.7366964025698135,0.6526209591182472,0.5868749019504782,0.6395954786459066,0.6855792386592989,0.6373318461256623,0.4389148238242351,0.7668491868442272,0.6244603796388102,0.6783962078811868,0.38658001017711796,0.8278679235325345,0.37837287803801023,0.7892975719999067,0.6678458283224313,0.7619800283494321,0.7362644693971507,0.6597021659551018,0.44174442716833284,0.7820067977781691,0.47562151655023566,0.642609490446514,0.3689771125574818,0.5133895905125248,0.5265987277188755,0.4473849529860042,0.5837300410545252,0.5127073067062375,0.6023887868231238,0.45193373503089496,0.8285595422256458,0.7155587689250944,0.8233434083070148,0.4138257647389645,0.37837235140389147,0.5936592091986295,0.6261952181808802,0.5751860324142011,0.6063711786244381,0.7556171994418791,0.6301025214137619,0.45780003933879365,0.683311257729065,0.6254640947352704,0.8391657892199387,0.7697535895458455,0.25878733889396044,0.6989053599637414,0.7024039732597023,0.639612418975547,0.5702589246243202,0.6252109914956318,0.7300212241442874,0.7933106352880422,0.3891314149764752,0.35023751405284287,0.4283142871961252,0.36546734709737483,0.6337106981781079,0.6908859218446367,0.6992780472104085,0.7221966407210109,0.6694890276094372,0.24470205060451922,0.7102299875689014,0.3942370111823751,0.4291561157329563,0.6834762199196007,0.6343196649007771,0.7221627735714639,0.6811926431000473,0.3781368352949439,0.7375886204092663,0.8152330570853945,0.8330853836168627,0.7285139396310722,0.6023270733964489,0.7489226126465008,0.7274135587288819,0.49148951757944537,0.7023954843948855,0.6326584501628736,0.6943365603439438,0.7627766608535493,0.6011711215965587,0.7520813402995464,0.5912281778668891,0.5526812136304631,0.4325931901265594,0.5959207740360444,0.754056874191871
beaver,0.7870124029601024,0.6249853987525408,0.6403020948665598,0.22354536517188817,0.0,0.7992086288786134,0.5684003086386614,0.5391845685338049,0.7323223809659527,0.7478933792594271,0.6018289356591229,0.5843213931321979,0.6194609379433171,0.7068554404437895,0.5549512907624995,0.4469154475904277,0.7485513201221763,0.6354634058752302,0.5668771710673808,0.5050999128187446,0.8213950178398687,0.4703282054440655,0.7797449184552883,0.6202204631515407,0.6750237111237318,0.7494077477630424,0.5438714951723699,0.28382833949367914,0.7709708992047501,0.4158567722915718,0.5817098715655533,0.44629345693217937,0.3938895566768993,0.5091709279483967,0.4486488682241516,0.5766951424303869,0.4629647916206119,0.6030810089393527,0.3572543209434328,0.836353400163121,0.6939410120747844,0.7687861500942543,0.3911846275533537,0.4199288521576696,0.4490762975313296,0.4856282595810325,0.5654870880768704,0.6030102207548261,0.7094017452907186,0.6354828441420273,0.24253571407884533,0.5908796898474626,0.6145960312025245,0.8608875270706059,0.7913947879422697,0.09769227092624289,0.6890076543095247,0.6621622107385665,0.677149352604381,0.5617633697387903,0.6231200687347274,0.7082075166076479,0.7500935690292666,0.2213434257841106,0.34711572095592125,0.2909868439062121,0.345182486984395,0.515665577774527,0.7117851386534018,0.6855412739448546,0.7306817807024413,0.6389563067775167,0.18259640834951185,0.6390804920791127,0.1650468642781261,0.4288748218002384,0.7056559928347712,0.47477696729979457,0.5936744009115119,0.5953303115351134,0.23859839545571326,0.7220853857205722,0.7932033806220327,0.795322172664406,0.7287960100329336,0.5989879177245304,0.7666052571247564,0.7134505626944947,0.46709166096766064,0.6948619270921765,0.624414251592911,0.5641613287877352,0.7320879790055592,0.457125576640277,0.7109038672006494,0.5666278243946097,0.5238293060459485,0.4629658419770798,0.5781908875854779,0.6525102044234916
bed,0.8838815419569138,0.8067017505960772,0.6773116767114791,0.7778921613037055,0.7992086288786134,0.0,0.8152026143430049,0.8309083844117678,0.866211561336451,0.7214639205318819,0.7715012405713093,0.7464408675870832,0.6974209065308189,0.6809315310023274,0.8435669948666001,0.7824105909769979,0.8127085684959927,0.7359324784536037,0.8535317400331521,0.818752364935573,0.6143220052189913,0.8264792172111997,0.7993624370098847,0.8307556849228189,0.8761499212337994,0.37767292448737055,0.8116905603696793,0.7914692066814233,0.8250955074229759,0.7909091147463904,0.8506492478238608,0.8325997556375218,0.7593721313080565,0.7603556929413171,0.7798986075481783,0.7603545131363524,0.7938939428661993,0.6820232432058225,0.8243168520754227,0.7852399801566734,0.6848828957887207,0.7752656146624493,0.8243547717948605,0.8332706377197706,0.7827022878699991,0.8076456325330615,0.7485368589325743,0.7687132230269713,0.8473539761656121,0.8125831839418658,0.798746723806742,0.9245491034529101,0.7551757961123311,0.9099026178363093,0.8455095797909895,0.7774654217657756,0.823373093689608,0.8128466848143356,0.6778662675657356,0.7752981199394542,0.7756310095979156,0.8142697841537084,0.9430221757304841,0.8268575451703521,0.8211415209969903,0.7629272575100976,0.8039289343675875,0.8255786556627671,0.78298774868725,0.8358272471493626,0.9252252980604531,0.7754477907213114,0.7718467497065601,0.822434653804594,0.828303740009216,0.8199386499081809,0.8276766115618288,0.815155471272806,0.8863228035564276,0.8342644377232109,0.7874300578913985,0.7313101768811207,0.9232362378544678,0.9080909319374353,0.42779792997774024,0.7433160013725133,0.7164758730395787,0.6289962139656391,0.8261904083277253,0.7250186494522985,0.7382803171998009,0.7716602233849401,0.9054153802909294,0.7811546351455751,0.45860539483044904,0.8377600384795256,0.7914185412962524,0.8026791281679302,0.7481523045927938,0.9134494377460352
bee,0.8201221372218135,0.6539016029398377,0.7045853923859757,0.6594164464388494,0.5684003086386614,0.8152026143430049,0.0,0.39843054477112605,0.7889659569888727,0.7820474872722275,0.6604566172586516,0.6806890222296493,0.7258074232637212,0.7478442413670685,0.43347226309265563,0.6784491899746955,0.7368854703107333,0.6939255786838309,0.5015367098263216,0.6643504428813216,0.8347028475055116,0.7091136769711707,0.7576921465803265,0.7067132289477651,0.5283800164920116,0.8204434557205247,0.5076268883181181,0.6142781077000725,0.7723883884419733,0.621983284997652,0.7918179798208745,0.7270959449920242,0.619764787509878,0.7027526956370802,0.6607826894619048,0.6788547990494007,0.6894611867800873,0.6972737381910981,0.6367796365416044,0.7878540609372562,0.7395174552146317,0.7703292229044018,0.6592395518525735,0.6802699830629113,0.5625501332991223,0.488803595993615,0.6866463387924615,0.6831163383418828,0.7566069157963831,0.7032429578372998,0.5905525173156143,0.6934238264995356,0.7040928728817802,0.7702173475529749,0.6762834496990067,0.5643914894797727,0.7517428784454001,0.7423072211969188,0.7315281942522223,0.6865321122522487,0.7031021078967737,0.7375868465298103,0.6481757586359341,0.6174666599391457,0.6654142332133112,0.6148182906766172,0.6433210988760845,0.7064379158333716,0.7578582482952773,0.7236584348682236,0.6981446749369797,0.7483315717547865,0.6044971042576484,0.7383490615059511,0.5466042190127864,0.6649835177068654,0.7661897901020422,0.5767130709354731,0.7090598015353485,0.4339351327047526,0.5705786306895544,0.7347963662382863,0.6234935897190917,0.791481816306928,0.7387700963204886,0.6867872815134033,0.7969817323216757,0.7750541223151728,0.6322478900838094,0.7126532976077478,0.6529693904074714,0.6768355005767426,0.658287854059039,0.618804874980158,0.8150654948734829,0.7951307080013968,0.6703681931266585,0.729092829312035,0.7014565346591601,0.7366281670899884
beetle,0.7405610054899574,0.6443010196676762,0.7480548258449737,0.6532508588068429,0.5391845685338049,0.8309083844117678,0.39843054477112605,0.0,0.7455490191186686,0.7249612795621538,0.6379209317182635,0.6869674157077564,0.7529669826944335,0.7356859633417665,0.49568900718330733,0.6897015055550142,0.6883722075951177,0.7089569650470394,0.5116378280272667,0.6281830638273914,0.7695682754589555,0.6972123852068121,0.6973932038227375,0.7144117262737462,0.23572340623959442,0.7663213387346971,0.438102495736154,0.5537889565135112,0.7671048363287484,0.6177618423514958,0.7062470286318515,0.7032535055461975,0.536336321173089,0.6776267085030074,0.6664075455942942,0.7014788785631627,0.6810501926843873,0.6945037427000673,0.6020620515017092,0.7814984638669715,0.6963900318864276,0.7035330184012845,0.6982548738808982,0.729839207311834,0.4637071967848728,0.42366691674721235,0.6592514391238058,0.6943766333024871,0.6926545193198559,0.7466755116309911,0.4974232639895654,0.7007260038014741,0.6826003761475735,0.8217892412308181,0.8447530584747419,0.5156097606768922,0.7740888690279493,0.6674455314123982,0.7268254266441712,0.6665038170988973,0.6732865581090246,0.6816384547788601,0.7412238735086494,0.6000122287262544,0.6153426947659462,0.5658244083229309,0.6349255116922197,0.5875563540869446,0.7650349815233224,0.7476299892398195,0.7482466121842836,0.7375555351243364,0.5672707360725898,0.6861284594800041,0.4650688329407363,0.5776595967871666,0.749436788076662,0.4905371853052778,0.6294392423317533,0.34406620961220935,0.5986523544193745,0.7094592799336592,0.7846146166043209,0.6732260991109438,0.7279728668513095,0.6666950031059056,0.6937965196487479,0.7179028895400464,0.6690761374993037,0.6909722096680972,0.6321260194417389,0.568207298051598,0.7163269508168926,0.5397667541384408,0.7733163411259355,0.6994839413400273,0.672982789920831,0.6977984879457926,0.6848535256146209,0.6389172016911643
bicycle,0.7880267254898083,0.7931999280165306,0.7434284489495888,0.7493715472410953,0.7323223809659527,0.866211561336451,0.7889659569888727,0.7455490191186686,0.0,0.78993763785376,0.7226117527070366,0.6921630588643113,0.745160025270885,0.6940042795262512,0.7199280073096681,0.7173741554390041,0.7559954662038096,0.7406261398409971,0.8034782447750883,0.7517830838088997,0.7543808367208175,0.8245604514874633,0.6937636449573346,0.7836409562201615,0.8274924172362412,0.8041562401686118,0.6978642919865313,0.735007652913699,0.7701475174769319,0.6747332545201264,0.8269668589020066,0.7704018761066806,0.6867988531220945,0.7072991835670821,0.7400112072067473,0.7069518955865092,0.8526597568566632,0.6796028699668646,0.7110489298545495,0.8716237992428446,0.7234653155088742,0.643077075231808,0.7846977763445777,0.7885918170255857,0.6849537884047721,0.6610628230985248,0.7277643953517672,0.721548199467922,0.3911171624488242,0.8179092193358019,0.7920856357650876,0.7952224842308048,0.719250954805742,0.7319011222339574,0.8652668500772788,0.6867905124994333,0.7646764112284421,0.6970726207583527,0.6419614710928212,0.7004000001825823,0.7232471498462036,0.7471996578360078,0.8815545201731724,0.7965921375813331,0.7826394407870638,0.7316640300727453,0.7382019898116912,0.800356014490619,0.7506065503241703,0.8134594687143584,0.8618780885345613,0.8211175501677674,0.7600118762860966,0.8417740902044498,0.7578934605034859,0.7323225101819117,0.8220119799767058,0.7610843022305673,0.7149165229230281,0.6648814522615357,0.7172805934333684,0.7422966290823854,0.8697384435523461,0.8490001959335766,0.6661401459007301,0.7099622419486485,0.8120498279052056,0.7585287679468427,0.799433024731522,0.6822768628735041,0.7255224348489593,0.7199976614195993,0.8420818551504393,0.7771255286823091,0.7902676150720548,0.827983038706827,0.6991873747262362,0.7473136277074333,0.7532051500421786,0.6868280204440428
bottle,0.7679398544803847,0.7854626424539626,0.7688822039793758,0.7366964025698135,0.7478933792594271,0.7214639205318819,0.7820474872722275,0.7249612795621538,0.78993763785376,0.0,0.6263550045349066,0.7199342074192863,0.6944984807090993,0.7094955871883081,0.8266543950507403,0.7515524184186424,0.3556664435827097,0.6955138364690207,0.7337867706260786,0.8216268769650638,0.7105618421239088,0.8230970377076798,0.7296455640808198,0.7952288356526156,0.8046492262646232,0.705006037021509,0.77093928857396,0.7512789621656286,0.6030373596887413,0.7269575427963559,0.8660289755886899,0.8233048025626375,0.7092540494611215,0.7210642417147095,0.7088821376961834,0.7324440506751158,0.8181209202703184,0.7292912071587879,0.729848558633168,0.8218881346929727,0.5262182361120956,0.781028702998515,0.7722071290770706,0.7935048280724066,0.7405615941824222,0.6980975812890022,0.6867789706624765,0.7492244422667806,0.8108812126731011,0.7910808146814077,0.774721248511061,0.7815193682985193,0.779807743012272,0.7546511364281098,0.8693499442781599,0.6987791107416093,0.8259618885230382,0.5870802082330533,0.6993088912845278,0.7527905542965273,0.7767046017921269,0.7235804983222744,0.8834057153325654,0.7702232451437581,0.7726325054762556,0.7156338894570684,0.7403565672652038,0.8132327119554075,0.8009433849498558,0.5955362038257764,0.8865006800097486,0.7906923777270923,0.7294159629713455,0.8120415522631592,0.7640259908567373,0.7619626691367585,0.70533725751291,0.7392724022910163,0.8193086490063941,0.7406243283831184,0.7236103869135386,0.7360777282938484,0.8446402287341483,0.7468431452646305,0.642665565975028,0.7259295395311409,0.7573394715746178,0.6594040917258316,0.7580954678465324,0.7301877271563533,0.7468579072570093,0.7216717988389408,0.8701645077782092,0.8249477326872683,0.6690082140709726,0.8589978779276324,0.7353397496928772,0.7301945771890183,0.7164284633471962,0.7777446708263269
