category,carroll_label,seed_n,n_embeddings,centroid_shift
frog,slithy,1,1,
horse,mimsy,1,1,
ship,vorpal,1,1,
frog,slithy,2,2,0.192971
horse,mimsy,2,2,0.108748
ship,vorpal,2,2,0.188094
frog,slithy,3,3,0.094885
horse,mimsy,3,3,0.074823
ship,vorpal,3,3,0.082258
frog,slithy,4,4,0.054933
horse,mimsy,4,4,0.040307
ship,vorpal,4,4,0.043635
frog,slithy,5,5,0.041525
horse,mimsy,5,5,0.030675
ship,vorpal,5,5,0.026239
frog,slithy,6,6,0.028016
horse,mimsy,6,6,0.019373
ship,vorpal,6,6,0.017857
frog,slithy,7,7,0.024653
horse,mimsy,7,7,0.009130
ship,vorpal,7,7,0.013997
frog,slithy,8,8,0.018253
horse,mimsy,8,8,0.006151
ship,vorpal,8,8,0.008269
frog,slithy,9,9,0.011400
horse,mimsy,9,9,0.005932
ship,vorpal,9,9,0.008670
frog,slithy,10,10,0.012379
horse,mimsy,10,10,0.009732
ship,vorpal,10,10,0.006556
