category,carroll_label,seed_n,n_embeddings,centroid_shift
frog,slithy,1,1,
horse,mimsy,1,1,
ship,vorpal,1,1,
frog,slithy,2,2,0.192971
horse,mimsy,2,2,0.108748
ship,vorpal,2,2,0.188094
frog,slithy,3,3,0.094885
horse,mimsy,3,3,0.074823
ship,vorpal,3,3,0.082258
frog,slithy,4,4,0.054933
horse,mimsy,4,4,0.040307
ship,vorpal,4,4,0.043635
frog,slithy,5,5,0.041525
horse,mimsy,5,5,0.030675
ship,vorpal,5,5,0.026239
frog,slithy,6,6,0.028016
horse,mimsy,6,6,0.019373
ship,vorpal,6,6,0.017857
frog,slithy,7,7,0.024653
horse,mimsy,7,7,0.009130
ship,vorpal,7,7,0.013997
frog,slithy,8,8,0.018253
horse,mimsy,8,8,0.006151
ship,vorpal,8,8,0.008269
frog,slithy,9,9,0.011400
horse,mimsy,9,9,0.005932
ship,vorpal,9,9,0.008670
frog,slithy,10,10,0.012379
horse,mimsy,10,10,0.009732
ship,vorpal,10,10,0.006556
frog,slithy,11,11,0.009238
horse,mimsy,11,11,0.006008
ship,vorpal,11,11,0.005534
frog,slithy,12,12,0.006187
horse,mimsy,12,12,0.005632
ship,vorpal,12,12,0.004568
frog,slithy,13,13,0.006188
horse,mimsy,13,13,0.005547
ship,vorpal,13,13,0.004675
frog,slithy,14,14,0.004906
horse,mimsy,14,14,0.002458
ship,vorpal,14,14,0.002395
frog,slithy,15,15,0.004116
horse,mimsy,15,15,0.002800
ship,vorpal,15,15,0.002843
