experiment_id,round,agent_id,label,cohesion,vector_norm,shift_from_previous,distance_to_initial,n_points
exp_003a,1,agent_00,slithy,0.563843,0.563843,0.120556,0.120556,20
exp_003a,1,agent_00,mimsy,0.666531,0.666531,0.065981,0.065981,19
exp_003a,1,agent_00,vorpal,0.629497,0.629497,0.078459,0.078459,19
exp_003a,1,agent_01,slithy,0.563694,0.563694,0.128299,0.128299,19
exp_003a,1,agent_01,mimsy,0.670074,0.670074,0.075183,0.075183,19
exp_003a,1,agent_01,vorpal,0.632756,0.632756,0.077622,0.077622,19
exp_003a,1,agent_02,slithy,0.587163,0.587163,0.103575,0.103575,19
exp_003a,1,agent_02,mimsy,0.663161,0.663161,0.086437,0.086437,19
exp_003a,1,agent_02,vorpal,0.630227,0.630227,0.083485,0.083485,19
exp_003a,2,agent_00,slithy,0.564071,0.564071,0.003106,0.160773,35
exp_003a,2,agent_00,mimsy,0.66662,0.66662,0.001715,0.088497,33
exp_003a,2,agent_00,vorpal,0.626272,0.626272,0.002267,0.106677,33
exp_003a,2,agent_01,slithy,0.563019,0.563019,0.004739,0.173812,34
exp_003a,2,agent_01,mimsy,0.668317,0.668317,0.002077,0.101611,33
exp_003a,2,agent_01,vorpal,0.62809,0.62809,0.002315,0.106028,33
exp_003a,2,agent_02,slithy,0.58425,0.58425,0.00315,0.141547,33
exp_003a,2,agent_02,mimsy,0.664174,0.664174,0.002294,0.116062,33
exp_003a,2,agent_02,vorpal,0.626518,0.626518,0.002465,0.113816,33
exp_003a,3,agent_00,slithy,0.565142,0.565141,0.000494,0.178278,50
exp_003a,3,agent_00,mimsy,0.667304,0.667304,0.000279,0.098474,47
exp_003a,3,agent_00,vorpal,0.625779,0.625779,0.000374,0.11931,47
exp_003a,3,agent_01,slithy,0.564194,0.564194,0.00071,0.193547,49
exp_003a,3,agent_01,mimsy,0.668397,0.668397,0.000341,0.113385,47
exp_003a,3,agent_01,vorpal,0.627038,0.627038,0.000385,0.118804,47
exp_003a,3,agent_02,slithy,0.584123,0.584123,0.000519,0.158521,47
exp_003a,3,agent_02,mimsy,0.665446,0.665446,0.000372,0.129142,47
exp_003a,3,agent_02,vorpal,0.625902,0.625902,0.000408,0.127414,47
exp_003a,4,agent_00,slithy,0.565949,0.565949,0.000142,0.188007,65
exp_003a,4,agent_00,mimsy,0.667829,0.667829,8.1e-05,0.104072,61
exp_003a,4,agent_00,vorpal,0.620695,0.620695,0.000466,0.12831,62
exp_003a,4,agent_01,slithy,0.565143,0.565143,0.000199,0.204455,64
exp_003a,4,agent_01,mimsy,0.66863,0.66863,0.0001,0.120003,61
exp_003a,4,agent_01,vorpal,0.621649,0.621649,0.000464,0.127752,62
exp_003a,4,agent_02,slithy,0.584308,0.584308,0.000152,0.168067,61
exp_003a,4,agent_02,mimsy,0.666339,0.666339,0.000108,0.136464,61
exp_003a,4,agent_02,vorpal,0.620754,0.620754,0.000482,0.137158,62
exp_003a,5,agent_00,slithy,0.566535,0.566535,5.5e-05,0.19419,80
exp_003a,5,agent_00,mimsy,0.668214,0.668214,3.2e-05,0.107649,75
exp_003a,5,agent_00,vorpal,0.617879,0.617879,0.000178,0.13428,77
exp_003a,5,agent_01,slithy,0.565843,0.565844,7.6e-05,0.211359,79
exp_003a,5,agent_01,mimsy,0.668845,0.668845,3.9e-05,0.124237,75
exp_003a,5,agent_01,vorpal,0.618647,0.618647,0.000178,0.133694,77
exp_003a,5,agent_02,slithy,0.584514,0.584514,5.9e-05,0.174175,75
exp_003a,5,agent_02,mimsy,0.666973,0.666972,4.2e-05,0.141137,75
exp_003a,5,agent_02,vorpal,0.61791,0.61791,0.000184,0.143599,77
exp_003a,6,agent_00,slithy,0.566972,0.566972,2.6e-05,0.198464,95
exp_003a,6,agent_00,mimsy,0.668502,0.668502,1.5e-05,0.110132,89
exp_003a,6,agent_00,vorpal,0.616107,0.616107,8.2e-05,0.138509,92
exp_003a,6,agent_01,slithy,0.56637,0.56637,3.5e-05,0.216118,94
exp_003a,6,agent_01,mimsy,0.669021,0.669021,1.8e-05,0.127176,89
exp_003a,6,agent_01,vorpal,0.616748,0.616749,8.2e-05,0.137906,92
exp_003a,6,agent_02,slithy,0.584695,0.584695,2.8e-05,0.178414,89
exp_003a,6,agent_02,mimsy,0.667439,0.667439,2e-05,0.144377,89
exp_003a,6,agent_02,vorpal,0.616123,0.616123,8.5e-05,0.148153,92
