round,label,n_assignments,mean_confidence,mean_margin
1,mimsy,60,0.6618145999999997,0.4882804333333333
1,slithy,60,0.5332279333333333,0.3420189333333335
1,vorpal,60,0.5932482000000001,0.39753863333333334
2,mimsy,60,0.6625560833333333,0.48933335
2,slithy,60,0.5294881,0.3366105999999999
2,vorpal,60,0.5911901,0.3949900833333334
3,mimsy,60,0.6620929499999998,0.48919471666666664
3,slithy,60,0.5269247,0.3335757833333333
3,vorpal,60,0.5895561500000001,0.3934234666666666
4,mimsy,60,0.6616606,0.48874051666666674
4,slithy,60,0.5253031166666665,0.33141126666666665
4,vorpal,60,0.5879663999999998,0.39194719999999994
5,mimsy,60,0.6613250999999997,0.48845256666666675
5,slithy,60,0.5242061166666665,0.3300597333333333
5,vorpal,60,0.5867062166666666,0.3907858333333332
6,mimsy,60,0.6610665499999999,0.4882474166666666
6,slithy,60,0.5234193166666669,0.32913561666666663
6,vorpal,60,0.5857301999999999,0.3898895333333333
