round,label,n_assignments,mean_confidence,mean_margin
1,mimsy,43,0.5703289302325583,0.37737646511627904
1,slithy,43,0.45054941860465114,0.285482465116279
1,vorpal,42,0.528633142857143,0.3428574761904762
2,mimsy,42,0.6628870714285715,0.4700620238095237
2,slithy,44,0.5638519772727271,0.38428529545454543
2,vorpal,42,0.6182410476190477,0.41020726190476187
3,mimsy,42,0.6679082142857142,0.47598980952380954
3,slithy,44,0.5714353636363636,0.39140931818181823
3,vorpal,42,0.6237236904761904,0.41499390476190473
4,mimsy,42,0.6691683333333334,0.4778729761904761
4,slithy,44,0.5732807500000001,0.3932861590909092
4,vorpal,45,0.6035080222222222,0.39840788888888884
5,mimsy,42,0.6696646428571429,0.47851350000000004
5,slithy,44,0.5739971590909093,0.39332631818181824
5,vorpal,45,0.6056401777777777,0.40066017777777774
6,mimsy,42,0.6699095714285714,0.4788852857142857
6,slithy,44,0.5743477272727272,0.39331838636363636
6,vorpal,45,0.6066733777777781,0.40179771111111107
