agent_id,label,round,cohesion,shift_from_previous,distance_to_initial
agent_00,mimsy,1,0.666531,0.065981,0.065981
agent_00,mimsy,2,0.66662,0.001715,0.088497
agent_00,mimsy,3,0.667304,0.000279,0.098474
agent_00,mimsy,4,0.667829,8.1e-05,0.104072
agent_00,mimsy,5,0.668214,3.2e-05,0.107649
agent_00,mimsy,6,0.668502,1.5e-05,0.110132
agent_00,slithy,1,0.563843,0.120556,0.120556
agent_00,slithy,2,0.564071,0.003106,0.160773
agent_00,slithy,3,0.565142,0.000494,0.178278
agent_00,slithy,4,0.565949,0.000142,0.188007
agent_00,slithy,5,0.566535,5.5e-05,0.19419
agent_00,slithy,6,0.566972,2.6e-05,0.198464
agent_00,vorpal,1,0.629497,0.078459,0.078459
agent_00,vorpal,2,0.626272,0.002267,0.106677
agent_00,vorpal,3,0.625779,0.000374,0.11931
agent_00,vorpal,4,0.620695,0.000466,0.12831
agent_00,vorpal,5,0.617879,0.000178,0.13428
agent_00,vorpal,6,0.616107,8.2e-05,0.138509
agent_01,mimsy,1,0.670074,0.075183,0.075183
agent_01,mimsy,2,0.668317,0.002077,0.101611
agent_01,mimsy,3,0.668397,0.000341,0.113385
agent_01,mimsy,4,0.66863,0.0001,0.120003
agent_01,mimsy,5,0.668845,3.9e-05,0.124237
agent_01,mimsy,6,0.669021,1.8e-05,0.127176
agent_01,slithy,1,0.563694,0.128299,0.128299
agent_01,slithy,2,0.563019,0.004739,0.173812
agent_01,slithy,3,0.564194,0.00071,0.193547
agent_01,slithy,4,0.565143,0.000199,0.204455
agent_01,slithy,5,0.565843,7.6e-05,0.211359
agent_01,slithy,6,0.56637,3.5e-05,0.216118
agent_01,vorpal,1,0.632756,0.077622,0.077622
agent_01,vorpal,2,0.62809,0.002315,0.106028
agent_01,vorpal,3,0.627038,0.000385,0.118804
agent_01,vorpal,4,0.621649,0.000464,0.127752
agent_01,vorpal,5,0.618647,0.000178,0.133694
agent_01,vorpal,6,0.616748,8.2e-05,0.137906
agent_02,mimsy,1,0.663161,0.086437,0.086437
agent_02,mimsy,2,0.664174,0.002294,0.116062
agent_02,mimsy,3,0.665446,0.000372,0.129142
agent_02,mimsy,4,0.666339,0.000108,0.136464
agent_02,mimsy,5,0.666973,4.2e-05,0.141137
agent_02,mimsy,6,0.667439,2e-05,0.144377
agent_02,slithy,1,0.587163,0.103575,0.103575
agent_02,slithy,2,0.58425,0.00315,0.141547
agent_02,slithy,3,0.584123,0.000519,0.158521
agent_02,slithy,4,0.584308,0.000152,0.168067
agent_02,slithy,5,0.584514,5.9e-05,0.174175
agent_02,slithy,6,0.584695,2.8e-05,0.178414
agent_02,vorpal,1,0.630227,0.083485,0.083485
agent_02,vorpal,2,0.626518,0.002465,0.113816
agent_02,vorpal,3,0.625902,0.000408,0.127414
agent_02,vorpal,4,0.620754,0.000482,0.137158
agent_02,vorpal,5,0.61791,0.000184,0.143599
agent_02,vorpal,6,0.616123,8.5e-05,0.148153
