experiment_id,label,round,d_00_01,d_00_02,d_01_02,mean_pairwise_distance
exp_003a,slithy,1,0.03196448,0.02930176,0.03492105,0.03206243
exp_003a,slithy,2,0.02664542,0.02930176,0.02878839,0.02824519
exp_003a,slithy,3,0.02664542,0.02930176,0.02878839,0.02824519
exp_003a,slithy,4,0.02664542,0.02930176,0.02878839,0.02824519
exp_003a,slithy,5,0.02664542,0.02930176,0.02878839,0.02824519
exp_003a,slithy,6,0.02664542,0.02930176,0.02878839,0.02824519
exp_003a,mimsy,1,0.01918912,0.0206995,0.02279162,0.02089341
exp_003a,mimsy,2,0.01918912,0.0206995,0.02279162,0.02089341
exp_003a,mimsy,3,0.01918912,0.0206995,0.02279162,0.02089341
exp_003a,mimsy,4,0.01918912,0.0206995,0.02279162,0.02089341
exp_003a,mimsy,5,0.01918912,0.0206995,0.02279162,0.02089341
exp_003a,mimsy,6,0.01918912,0.0206995,0.02279162,0.02089341
exp_003a,vorpal,1,0.01536441,0.01475137,0.01587021,0.01532866
exp_003a,vorpal,2,0.01536441,0.01475137,0.01587021,0.01532866
exp_003a,vorpal,3,0.01536441,0.01475137,0.01587021,0.01532866
exp_003a,vorpal,4,0.01456302,0.01398587,0.01504552,0.01453147
exp_003a,vorpal,5,0.01456302,0.01398587,0.01504552,0.01453147
exp_003a,vorpal,6,0.01456302,0.01398587,0.01504552,0.01453147
exp_003b,slithy,1,0.03196448,0.02930176,0.03492105,0.03206243
exp_003b,slithy,2,0.03196448,0.02930176,0.03492105,0.03206243
exp_003b,slithy,3,0.03196448,0.02930176,0.03492105,0.03206243
exp_003b,slithy,4,0.03196448,0.02930176,0.03492105,0.03206243
exp_003b,slithy,5,0.03196448,0.02930176,0.03492105,0.03206243
exp_003b,slithy,6,0.03196448,0.02930176,0.03492105,0.03206243
exp_003b,mimsy,1,0.01918912,0.0206995,0.02279162,0.02089341
exp_003b,mimsy,2,0.01918912,0.0206995,0.02279162,0.02089341
exp_003b,mimsy,3,0.01918912,0.0206995,0.02279162,0.02089341
exp_003b,mimsy,4,0.01918912,0.0206995,0.02279162,0.02089341
exp_003b,mimsy,5,0.01918912,0.0206995,0.02279162,0.02089341
exp_003b,mimsy,6,0.01918912,0.0206995,0.02279162,0.02089341
exp_003b,vorpal,1,0.01536441,0.01475137,0.01587021,0.01532866
exp_003b,vorpal,2,0.01536441,0.01475137,0.01587021,0.01532866
exp_003b,vorpal,3,0.01536441,0.01475137,0.01587021,0.01532866
exp_003b,vorpal,4,0.01536441,0.01475137,0.01587021,0.01532866
exp_003b,vorpal,5,0.01536441,0.01475137,0.01587021,0.01532866
exp_003b,vorpal,6,0.01536441,0.01475137,0.01587021,0.01532866
