label,round,agent_a,agent_b,cosine_distance
mimsy,1,agent_00,agent_01,0.0
mimsy,1,agent_00,agent_02,0.0
mimsy,1,agent_01,agent_02,0.0
mimsy,2,agent_00,agent_01,0.0
mimsy,2,agent_00,agent_02,0.0
mimsy,2,agent_01,agent_02,0.0
mimsy,3,agent_00,agent_01,0.0
mimsy,3,agent_00,agent_02,0.0
mimsy,3,agent_01,agent_02,0.0
mimsy,4,agent_00,agent_01,0.0
mimsy,4,agent_00,agent_02,0.0
mimsy,4,agent_01,agent_02,0.0
mimsy,5,agent_00,agent_01,0.0
mimsy,5,agent_00,agent_02,0.0
mimsy,5,agent_01,agent_02,0.0
mimsy,6,agent_00,agent_01,0.0
mimsy,6,agent_00,agent_02,0.0
mimsy,6,agent_01,agent_02,0.0
slithy,1,agent_00,agent_01,0.0058459
slithy,1,agent_00,agent_02,0.00630504
slithy,1,agent_01,agent_02,0.01517892
slithy,2,agent_00,agent_01,0.0
slithy,2,agent_00,agent_02,0.00630504
slithy,2,agent_01,agent_02,0.00630504
slithy,3,agent_00,agent_01,0.0
slithy,3,agent_00,agent_02,0.00630504
slithy,3,agent_01,agent_02,0.00630504
slithy,4,agent_00,agent_01,0.0
slithy,4,agent_00,agent_02,0.00630504
slithy,4,agent_01,agent_02,0.00630504
slithy,5,agent_00,agent_01,0.0
slithy,5,agent_00,agent_02,0.00630504
slithy,5,agent_01,agent_02,0.00630504
slithy,6,agent_00,agent_01,0.0
slithy,6,agent_00,agent_02,0.00630504
slithy,6,agent_01,agent_02,0.00630504
vorpal,1,agent_00,agent_01,0.0
vorpal,1,agent_00,agent_02,0.0
vorpal,1,agent_01,agent_02,0.0
vorpal,2,agent_00,agent_01,0.0
vorpal,2,agent_00,agent_02,0.0
vorpal,2,agent_01,agent_02,0.0
vorpal,3,agent_00,agent_01,0.0
vorpal,3,agent_00,agent_02,0.0
vorpal,3,agent_01,agent_02,0.0
vorpal,4,agent_00,agent_01,0.0
vorpal,4,agent_00,agent_02,0.0
vorpal,4,agent_01,agent_02,0.0
vorpal,5,agent_00,agent_01,0.0
vorpal,5,agent_00,agent_02,0.0
vorpal,5,agent_01,agent_02,0.0
vorpal,6,agent_00,agent_01,0.0
vorpal,6,agent_00,agent_02,0.0
vorpal,6,agent_01,agent_02,0.0
