condition,label,round,mean_pairwise_distance
003a_feedback,mimsy,1,0.0
003a_feedback,mimsy,2,0.0
003a_feedback,mimsy,3,0.0
003a_feedback,mimsy,4,0.0
003a_feedback,mimsy,5,0.0
003a_feedback,mimsy,6,0.0
003a_feedback,slithy,1,0.009109953333333334
003a_feedback,slithy,2,0.00420336
003a_feedback,slithy,3,0.00420336
003a_feedback,slithy,4,0.00420336
003a_feedback,slithy,5,0.00420336
003a_feedback,slithy,6,0.00420336
003a_feedback,vorpal,1,0.0
003a_feedback,vorpal,2,0.0
003a_feedback,vorpal,3,0.0
003a_feedback,vorpal,4,0.0
003a_feedback,vorpal,5,0.0
003a_feedback,vorpal,6,0.0
003b_no_feedback,mimsy,1,0.0
003b_no_feedback,mimsy,2,0.0
003b_no_feedback,mimsy,3,0.0
003b_no_feedback,mimsy,4,0.0
003b_no_feedback,mimsy,5,0.0
003b_no_feedback,mimsy,6,0.0
003b_no_feedback,slithy,1,0.009109953333333334
003b_no_feedback,slithy,2,0.009109953333333334
003b_no_feedback,slithy,3,0.009109953333333334
003b_no_feedback,slithy,4,0.009109953333333334
003b_no_feedback,slithy,5,0.009109953333333334
003b_no_feedback,slithy,6,0.009109953333333334
003b_no_feedback,vorpal,1,0.0
003b_no_feedback,vorpal,2,0.0
003b_no_feedback,vorpal,3,0.0
003b_no_feedback,vorpal,4,0.0
003b_no_feedback,vorpal,5,0.0
003b_no_feedback,vorpal,6,0.0
