condition,round,agent_id,frobenius_distance_to_identity,frobenius_drift_from_initial
frozen,1,agent_00,3.859027,0.0
frozen,1,agent_01,3.841459,0.0
frozen,1,agent_02,3.83744,0.0
frozen,2,agent_00,3.859027,0.0
frozen,2,agent_01,3.841459,0.0
frozen,2,agent_02,3.83744,0.0
frozen,3,agent_00,3.859027,0.0
frozen,3,agent_01,3.841459,0.0
frozen,3,agent_02,3.83744,0.0
frozen,4,agent_00,3.859027,0.0
frozen,4,agent_01,3.841459,0.0
frozen,4,agent_02,3.83744,0.0
frozen,5,agent_00,3.859027,0.0
frozen,5,agent_01,3.841459,0.0
frozen,5,agent_02,3.83744,0.0
frozen,6,agent_00,3.859027,0.0
frozen,6,agent_01,3.841459,0.0
frozen,6,agent_02,3.83744,0.0
frozen,7,agent_00,3.859027,0.0
frozen,7,agent_01,3.841459,0.0
frozen,7,agent_02,3.83744,0.0
frozen,8,agent_00,3.859027,0.0
frozen,8,agent_01,3.841459,0.0
frozen,8,agent_02,3.83744,0.0
frozen,9,agent_00,3.859027,0.0
frozen,9,agent_01,3.841459,0.0
frozen,9,agent_02,3.83744,0.0
frozen,10,agent_00,3.859027,0.0
frozen,10,agent_01,3.841459,0.0
frozen,10,agent_02,3.83744,0.0
frozen,11,agent_00,3.859027,0.0
frozen,11,agent_01,3.841459,0.0
frozen,11,agent_02,3.83744,0.0
frozen,12,agent_00,3.859027,0.0
frozen,12,agent_01,3.841459,0.0
frozen,12,agent_02,3.83744,0.0
frozen,13,agent_00,3.859027,0.0
frozen,13,agent_01,3.841459,0.0
frozen,13,agent_02,3.83744,0.0
frozen,14,agent_00,3.859027,0.0
frozen,14,agent_01,3.841459,0.0
frozen,14,agent_02,3.83744,0.0
frozen,15,agent_00,3.859027,0.0
frozen,15,agent_01,3.841459,0.0
frozen,15,agent_02,3.83744,0.0
frozen,16,agent_00,3.859027,0.0
frozen,16,agent_01,3.841459,0.0
frozen,16,agent_02,3.83744,0.0
frozen,17,agent_00,3.859027,0.0
frozen,17,agent_01,3.841459,0.0
frozen,17,agent_02,3.83744,0.0
frozen,18,agent_00,3.859027,0.0
frozen,18,agent_01,3.841459,0.0
frozen,18,agent_02,3.83744,0.0
frozen,19,agent_00,3.859027,0.0
frozen,19,agent_01,3.841459,0.0
frozen,19,agent_02,3.83744,0.0
frozen,20,agent_00,3.859027,0.0
frozen,20,agent_01,3.841459,0.0
frozen,20,agent_02,3.83744,0.0
frozen,21,agent_00,3.859027,0.0
frozen,21,agent_01,3.841459,0.0
frozen,21,agent_02,3.83744,0.0
frozen,22,agent_00,3.859027,0.0
frozen,22,agent_01,3.841459,0.0
frozen,22,agent_02,3.83744,0.0
frozen,23,agent_00,3.859027,0.0
frozen,23,agent_01,3.841459,0.0
frozen,23,agent_02,3.83744,0.0
frozen,24,agent_00,3.859027,0.0
frozen,24,agent_01,3.841459,0.0
frozen,24,agent_02,3.83744,0.0
frozen,25,agent_00,3.859027,0.0
frozen,25,agent_01,3.841459,0.0
frozen,25,agent_02,3.83744,0.0
consensus,1,agent_00,1.300744,4.25185
consensus,1,agent_01,1.333515,4.243895
consensus,1,agent_02,1.349654,4.240949
consensus,2,agent_00,1.232931,4.051129
consensus,2,agent_01,1.243589,4.035129
consensus,2,agent_02,1.254333,4.027684
consensus,3,agent_00,1.230223,4.055634
consensus,3,agent_01,1.244914,4.040273
consensus,3,agent_02,1.244985,4.030457
consensus,4,agent_00,1.243283,4.059698
consensus,4,agent_01,1.262627,4.045951
consensus,4,agent_02,1.256617,4.034442
consensus,5,agent_00,1.255896,4.063702
consensus,5,agent_01,1.27861,4.051184
consensus,5,agent_02,1.271079,4.039515
consensus,6,agent_00,1.266719,4.067094
consensus,6,agent_01,1.290311,4.054953
consensus,6,agent_02,1.283824,4.043982
consensus,7,agent_00,1.27617,4.070014
consensus,7,agent_01,1.29811,4.057372
consensus,7,agent_02,1.293075,4.047249
consensus,8,agent_00,1.284434,4.072531
consensus,8,agent_01,1.303243,4.058852
consensus,8,agent_02,1.298822,4.049281
consensus,9,agent_00,1.291469,4.074636
consensus,9,agent_01,1.306784,4.059756
consensus,9,agent_02,1.302103,4.050423
consensus,10,agent_00,1.297254,4.076326
consensus,10,agent_01,1.309456,4.060352
consensus,10,agent_02,1.304166,4.051089
consensus,11,agent_00,1.301865,4.077627
consensus,11,agent_01,1.3117,4.060797
consensus,11,agent_02,1.30584,4.051573
consensus,12,agent_00,1.305437,4.078591
consensus,12,agent_01,1.313748,4.061206
consensus,12,agent_02,1.307455,4.051991
consensus,13,agent_00,1.308104,4.079267
consensus,13,agent_01,1.315695,4.061608
consensus,13,agent_02,1.309049,4.052373
consensus,14,agent_00,1.309989,4.079703
consensus,14,agent_01,1.317554,4.062013
consensus,14,agent_02,1.310547,4.052706
consensus,15,agent_00,1.311222,4.079949
consensus,15,agent_01,1.319308,4.062417
consensus,15,agent_02,1.311882,4.052976
consensus,16,agent_00,1.311941,4.080046
consensus,16,agent_01,1.320918,4.062796
consensus,16,agent_02,1.313024,4.053179
consensus,17,agent_00,1.312284,4.080043
consensus,17,agent_01,1.322343,4.063143
consensus,17,agent_02,1.313993,4.053329
consensus,18,agent_00,1.312371,4.079979
consensus,18,agent_01,1.323554,4.063429
consensus,18,agent_02,1.314842,4.053452
consensus,19,agent_00,1.312297,4.079879
consensus,19,agent_01,1.324545,4.063665
consensus,19,agent_02,1.315621,4.053569
consensus,20,agent_00,1.312125,4.079769
consensus,20,agent_01,1.325329,4.063837
consensus,20,agent_02,1.316376,4.05369
consensus,21,agent_00,1.311905,4.079656
consensus,21,agent_01,1.325931,4.063962
consensus,21,agent_02,1.317123,4.053827
consensus,22,agent_00,1.311666,4.079548
consensus,22,agent_01,1.326389,4.064046
consensus,22,agent_02,1.317865,4.053981
consensus,23,agent_00,1.311429,4.079453
consensus,23,agent_01,1.326743,4.064103
consensus,23,agent_02,1.318597,4.054149
consensus,24,agent_00,1.311207,4.079368
consensus,24,agent_01,1.327032,4.064146
consensus,24,agent_02,1.319311,4.054326
consensus,25,agent_00,1.311008,4.079297
consensus,25,agent_01,1.327293,4.064185
consensus,25,agent_02,1.320002,4.054508
random,1,agent_00,1.190104,4.197657
random,1,agent_01,1.2735,4.210821
random,1,agent_02,1.227506,4.187384
random,2,agent_00,1.247196,4.055139
random,2,agent_01,1.263186,4.038611
random,2,agent_02,1.248105,4.021381
random,3,agent_00,1.302899,4.079287
random,3,agent_01,1.307825,4.059096
random,3,agent_02,1.252225,4.030528
random,4,agent_00,1.323141,4.085941
random,4,agent_01,1.322964,4.062225
random,4,agent_02,1.290637,4.041655
random,5,agent_00,1.310652,4.083913
random,5,agent_01,1.359418,4.07449
random,5,agent_02,1.35101,4.061919
random,6,agent_00,1.309619,4.080931
random,6,agent_01,1.371095,4.079607
random,6,agent_02,1.31847,4.051542
random,7,agent_00,1.363749,4.100135
random,7,agent_01,1.37078,4.078903
random,7,agent_02,1.3798,4.070807
random,8,agent_00,1.372856,4.1026
random,8,agent_01,1.356398,4.074063
random,8,agent_02,1.35155,4.061911
random,9,agent_00,1.336038,4.089602
random,9,agent_01,1.393932,4.087723
random,9,agent_02,1.415027,4.082885
random,10,agent_00,1.415823,4.117279
random,10,agent_01,1.379611,4.080256
random,10,agent_02,1.336556,4.058169
random,11,agent_00,1.426447,4.121761
random,11,agent_01,1.352656,4.073175
random,11,agent_02,1.387344,4.072621
random,12,agent_00,1.385332,4.1065
random,12,agent_01,1.420047,4.095577
random,12,agent_02,1.368082,4.068129
random,13,agent_00,1.401317,4.111856
random,13,agent_01,1.352989,4.07321
random,13,agent_02,1.354399,4.06283
random,14,agent_00,1.442131,4.124583
random,14,agent_01,1.35504,4.072734
random,14,agent_02,1.376044,4.069829
random,15,agent_00,1.376236,4.102302
random,15,agent_01,1.333535,4.066123
random,15,agent_02,1.427415,4.087868
random,16,agent_00,1.396641,4.11001
random,16,agent_01,1.328726,4.063209
random,16,agent_02,1.404633,4.078883
random,17,agent_00,1.379343,4.104591
random,17,agent_01,1.399444,4.089145
random,17,agent_02,1.466325,4.101357
random,18,agent_00,1.371661,4.101936
random,18,agent_01,1.372221,4.078978
random,18,agent_02,1.39325,4.077679
random,19,agent_00,1.418092,4.117511
random,19,agent_01,1.3413,4.067338
random,19,agent_02,1.370252,4.068503
random,20,agent_00,1.438597,4.124349
random,20,agent_01,1.382252,4.082603
random,20,agent_02,1.389429,4.074975
random,21,agent_00,1.365341,4.098383
random,21,agent_01,1.373412,4.079597
random,21,agent_02,1.407192,4.082038
random,22,agent_00,1.432261,4.124265
random,22,agent_01,1.346808,4.070506
random,22,agent_02,1.419747,4.086074
random,23,agent_00,1.426082,4.120463
random,23,agent_01,1.35282,4.072726
random,23,agent_02,1.359593,4.064673
random,24,agent_00,1.364768,4.099673
random,24,agent_01,1.386948,4.084684
random,24,agent_02,1.328429,4.056203
random,25,agent_00,1.382311,4.103738
random,25,agent_01,1.36507,4.076339
random,25,agent_02,1.331277,4.056546
