condition,round,held_out_consensus_accuracy,majority_agreement,unanimous_agreement,mean_entropy,label_coverage
frozen,1,1.0,1.0,0.9111,0.0816,3
frozen,2,1.0,1.0,0.9333,0.0612,3
frozen,3,1.0,1.0,0.9333,0.0612,3
frozen,4,1.0,1.0,0.9333,0.0612,3
frozen,5,1.0,1.0,0.9333,0.0612,3
frozen,6,1.0,1.0,0.9333,0.0612,3
frozen,7,1.0,1.0,0.9333,0.0612,3
frozen,8,1.0,1.0,0.9333,0.0612,3
frozen,9,1.0,1.0,0.9333,0.0612,3
frozen,10,1.0,1.0,0.9333,0.0612,3
frozen,11,1.0,1.0,0.9333,0.0612,3
frozen,12,1.0,1.0,0.9333,0.0612,3
frozen,13,1.0,1.0,0.9333,0.0612,3
frozen,14,1.0,1.0,0.9333,0.0612,3
frozen,15,1.0,1.0,0.9333,0.0612,3
frozen,16,1.0,1.0,0.9333,0.0612,3
frozen,17,1.0,1.0,0.9333,0.0612,3
frozen,18,1.0,1.0,0.9333,0.0612,3
frozen,19,1.0,1.0,0.9333,0.0612,3
frozen,20,1.0,1.0,0.9333,0.0612,3
frozen,21,1.0,1.0,0.9333,0.0612,3
frozen,22,1.0,1.0,0.9333,0.0612,3
frozen,23,1.0,1.0,0.9333,0.0612,3
frozen,24,1.0,1.0,0.9333,0.0612,3
frozen,25,1.0,1.0,0.9333,0.0612,3
consensus,1,0.9833,1.0,0.9111,0.0816,3
consensus,2,0.9833,1.0,1.0,-0.0,3
consensus,3,0.9833,1.0,1.0,-0.0,3
consensus,4,0.9833,1.0,1.0,-0.0,3
consensus,5,0.9833,1.0,1.0,-0.0,3
consensus,6,0.9833,1.0,1.0,-0.0,3
consensus,7,0.9833,1.0,1.0,-0.0,3
consensus,8,0.9833,1.0,1.0,-0.0,3
consensus,9,0.9833,1.0,1.0,-0.0,3
consensus,10,0.9833,1.0,1.0,-0.0,3
consensus,11,0.9833,1.0,1.0,-0.0,3
consensus,12,0.9833,1.0,1.0,-0.0,3
consensus,13,0.9833,1.0,1.0,-0.0,3
consensus,14,0.9833,1.0,1.0,-0.0,3
consensus,15,0.9833,1.0,1.0,-0.0,3
consensus,16,0.9833,1.0,1.0,-0.0,3
consensus,17,0.9833,1.0,1.0,-0.0,3
consensus,18,0.9833,1.0,1.0,-0.0,3
consensus,19,0.9833,1.0,1.0,-0.0,3
consensus,20,0.9833,1.0,1.0,-0.0,3
consensus,21,0.9833,1.0,1.0,-0.0,3
consensus,22,0.9833,1.0,1.0,-0.0,3
consensus,23,0.9833,1.0,1.0,-0.0,3
consensus,24,0.9833,1.0,1.0,-0.0,3
consensus,25,0.9833,1.0,1.0,-0.0,3
random,1,0.9833,1.0,0.9111,0.0816,3
random,2,1.0,1.0,0.9778,0.0204,3
random,3,0.9833,1.0,0.9778,0.0204,3
random,4,0.9833,1.0,0.9778,0.0204,3
random,5,0.9833,1.0,0.9778,0.0204,3
random,6,0.9833,1.0,0.9556,0.0408,3
random,7,0.9833,1.0,0.9778,0.0204,3
random,8,0.9833,1.0,0.9556,0.0408,3
random,9,0.9833,1.0,0.9778,0.0204,3
random,10,0.9833,1.0,0.9778,0.0204,3
random,11,0.9833,1.0,1.0,-0.0,3
random,12,0.9833,1.0,0.9778,0.0204,3
random,13,0.9833,1.0,1.0,-0.0,3
random,14,0.9833,1.0,1.0,-0.0,3
random,15,0.9833,1.0,0.9333,0.0612,3
random,16,0.9833,1.0,1.0,-0.0,3
random,17,0.9833,1.0,0.9778,0.0204,3
random,18,0.9833,1.0,0.9556,0.0408,3
random,19,0.9833,1.0,1.0,-0.0,3
random,20,0.9833,1.0,1.0,-0.0,3
random,21,0.9833,1.0,0.9778,0.0204,3
random,22,0.9833,1.0,0.9556,0.0408,3
random,23,0.9833,1.0,0.9778,0.0204,3
random,24,0.9833,1.0,1.0,-0.0,3
random,25,0.9833,1.0,1.0,-0.0,3
