space,condition,label,round,d_00_01,d_00_02,d_01_02,mean_pairwise_distance
projected,consensus,mimsy,1,0.15961123,0.16042447,0.17216325,0.16406632
projected,consensus,mimsy,2,0.11076021,0.10906351,0.11674625,0.11218999
projected,consensus,mimsy,3,0.08993036,0.08718431,0.09229571,0.08980346
projected,consensus,mimsy,4,0.07902503,0.0757404,0.0798164,0.07819394
projected,consensus,mimsy,5,0.072568,0.06886703,0.07267582,0.07137028
projected,consensus,mimsy,6,0.06830579,0.06426072,0.0681026,0.0668897
projected,consensus,mimsy,7,0.06528234,0.06096417,0.06487596,0.06370749
projected,consensus,mimsy,8,0.06306702,0.05856979,0.06244987,0.06136223
projected,consensus,mimsy,9,0.06142944,0.05686486,0.06056923,0.05962118
projected,consensus,mimsy,10,0.06021619,0.05569482,0.05910164,0.05833755
projected,consensus,mimsy,11,0.05930918,0.05493271,0.05797082,0.05740424
projected,consensus,mimsy,12,0.05861574,0.05447161,0.05712718,0.05673818
projected,consensus,mimsy,13,0.05806434,0.05422068,0.05652839,0.05627114
projected,consensus,mimsy,14,0.05760264,0.0541001,0.05613279,0.05594518
projected,consensus,mimsy,15,0.05719298,0.05404574,0.05589861,0.05571244
projected,consensus,mimsy,16,0.05681133,0.05401194,0.0557878,0.05553702
projected,consensus,mimsy,17,0.05644429,0.05397153,0.05576688,0.05539423
projected,consensus,mimsy,18,0.05608737,0.05391359,0.05580789,0.05526962
projected,consensus,mimsy,19,0.05574167,0.05383694,0.05588871,0.05515577
projected,consensus,mimsy,20,0.05541104,0.05374515,0.05599189,0.05504936
projected,consensus,mimsy,21,0.05509967,0.05364299,0.05610394,0.05494887
projected,consensus,mimsy,22,0.05481017,0.05353391,0.05621457,0.05485288
projected,consensus,mimsy,23,0.05454391,0.05341959,0.05631578,0.05475976
projected,consensus,mimsy,24,0.05430049,0.0533011,0.05640179,0.05466779
projected,consensus,mimsy,25,0.05407953,0.05317891,0.05646986,0.0545761
projected,consensus,slithy,1,0.0726223,0.07434016,0.08292353,0.07662866
projected,consensus,slithy,2,0.05480981,0.05610538,0.05996931,0.0569615
projected,consensus,slithy,3,0.04657096,0.04672879,0.05003738,0.04777904
projected,consensus,slithy,4,0.04243457,0.04162765,0.04473197,0.0429314
projected,consensus,slithy,5,0.03980732,0.03831255,0.04122639,0.03978209
projected,consensus,slithy,6,0.03814727,0.03613019,0.0388124,0.03769662
projected,consensus,slithy,7,0.03711224,0.03467631,0.03708065,0.03628973
projected,consensus,slithy,8,0.03650576,0.03372288,0.03581166,0.03534677
projected,consensus,slithy,9,0.03617412,0.03311265,0.03486335,0.03471671
projected,consensus,slithy,10,0.03599799,0.03273904,0.03414762,0.03429488
projected,consensus,slithy,11,0.03589225,0.032529,0.03361511,0.03401212
projected,consensus,slithy,12,0.03580308,0.03242743,0.03323299,0.03382117
projected,consensus,slithy,13,0.03569925,0.03238773,0.03297263,0.03368654
projected,consensus,slithy,14,0.03556693,0.03237301,0.03280622,0.03358205
projected,consensus,slithy,15,0.03540218,0.03235734,0.03270853,0.03348935
projected,consensus,slithy,16,0.0352093,0.03232771,0.03265882,0.03339861
projected,consensus,slithy,17,0.03499746,0.03228128,0.03264141,0.03330672
projected,consensus,slithy,18,0.03477699,0.03222096,0.03264481,0.03321425
projected,consensus,slithy,19,0.03455788,0.03215206,0.03266168,0.03312387
projected,consensus,slithy,20,0.03434825,0.03207988,0.03268778,0.03303864
projected,consensus,slithy,21,0.0341534,0.03200758,0.03271937,0.03296012
projected,consensus,slithy,22,0.0339765,0.03193718,0.03275418,0.03288929
projected,consensus,slithy,23,0.03381848,0.03186858,0.03278935,0.03282547
projected,consensus,slithy,24,0.03367954,0.03180176,0.03282332,0.03276821
projected,consensus,slithy,25,0.03355908,0.03173685,0.03285468,0.03271687
projected,consensus,vorpal,1,0.15202141,0.15197718,0.15704751,0.15368203
projected,consensus,vorpal,2,0.12519085,0.12295091,0.12300646,0.12371607
projected,consensus,vorpal,3,0.11048859,0.10607928,0.1052736,0.10728049
projected,consensus,vorpal,4,0.10184729,0.09585917,0.09468031,0.09746226
projected,consensus,vorpal,5,0.09667456,0.08956528,0.08774406,0.09132797
projected,consensus,vorpal,6,0.09384161,0.08577377,0.08301258,0.08754265
projected,consensus,vorpal,7,0.09268606,0.08368349,0.07971919,0.08536291
projected,consensus,vorpal,8,0.09263253,0.08274752,0.07735306,0.08424437
projected,consensus,vorpal,9,0.09318954,0.08260483,0.07561707,0.08380381
projected,consensus,vorpal,10,0.09400213,0.08301806,0.07439911,0.08380643
projected,consensus,vorpal,11,0.09484863,0.08378541,0.07366455,0.08409953
projected,consensus,vorpal,12,0.09559959,0.0847072,0.07336628,0.08455769
projected,consensus,vorpal,13,0.09618193,0.08560705,0.07342446,0.08507115
projected,consensus,vorpal,14,0.0965628,0.08636463,0.07374161,0.08555635
projected,consensus,vorpal,15,0.09674275,0.08692837,0.07422256,0.08596456
projected,consensus,vorpal,16,0.09674764,0.08730507,0.07478666,0.08627979
projected,consensus,vorpal,17,0.09661841,0.08753633,0.07537323,0.08650932
projected,consensus,vorpal,18,0.09639961,0.08767515,0.07594156,0.08667211
projected,consensus,vorpal,19,0.09613127,0.0877673,0.07646716,0.08678858
projected,consensus,vorpal,20,0.09584391,0.08784354,0.07693624,0.08687456
projected,consensus,vorpal,21,0.09555745,0.087919,0.0773409,0.08693912
projected,consensus,vorpal,22,0.09528297,0.08799708,0.07767713,0.08698573
projected,consensus,vorpal,23,0.09502637,0.08807498,0.07794416,0.08701517
projected,consensus,vorpal,24,0.09479207,0.08814794,0.07814497,0.08702833
projected,consensus,vorpal,25,0.09458524,0.08821261,0.07828557,0.08702781
projected,frozen,mimsy,1,0.04819095,0.04861706,0.05758953,0.05146585
projected,frozen,mimsy,2,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,3,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,4,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,5,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,6,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,7,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,8,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,9,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,10,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,11,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,12,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,13,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,14,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,15,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,16,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,17,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,18,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,19,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,20,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,21,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,22,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,23,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,24,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,mimsy,25,0.05321759,0.04755253,0.06290936,0.05455983
projected,frozen,slithy,1,0.05906653,0.06161046,0.07005692,0.06357797
projected,frozen,slithy,2,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,3,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,4,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,5,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,6,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,7,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,8,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,9,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,10,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,11,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,12,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,13,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,14,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,15,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,16,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,17,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,18,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,19,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,20,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,21,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,22,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,23,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,24,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,slithy,25,0.05489719,0.06161046,0.06435001,0.06028589
projected,frozen,vorpal,1,0.05366528,0.05421036,0.05784661,0.05524075
projected,frozen,vorpal,2,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,3,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,4,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,5,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,6,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,7,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,8,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,9,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,10,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,11,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,12,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,13,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,14,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,15,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,16,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,17,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,18,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,19,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,20,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,21,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,22,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,23,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,24,0.04899275,0.05023605,0.05784661,0.05235847
projected,frozen,vorpal,25,0.04899275,0.05023605,0.05784661,0.05235847
projected,random,mimsy,1,0.1132738,0.16571844,0.19574547,0.1582459
projected,random,mimsy,2,0.08139932,0.09927517,0.09661484,0.09242978
projected,random,mimsy,3,0.06470227,0.08073235,0.07746863,0.07430108
projected,random,mimsy,4,0.05410606,0.05850524,0.05615085,0.05625405
projected,random,mimsy,5,0.043167,0.05656493,0.05926049,0.05299747
projected,random,mimsy,6,0.04495108,0.04936314,0.05776083,0.05069168
projected,random,mimsy,7,0.05123281,0.0519309,0.04149067,0.04821813
projected,random,mimsy,8,0.0425061,0.04430091,0.04352003,0.04344235
projected,random,mimsy,9,0.03851169,0.04243314,0.04224998,0.04106494
projected,random,mimsy,10,0.03797549,0.04601336,0.03885967,0.04094951
projected,random,mimsy,11,0.03245187,0.03995264,0.0367223,0.0363756
projected,random,mimsy,12,0.03857303,0.03518528,0.04409075,0.03928302
projected,random,mimsy,13,0.03479111,0.0463531,0.03881228,0.0399855
projected,random,mimsy,14,0.0339967,0.03541404,0.03820133,0.03587069
projected,random,mimsy,15,0.04270798,0.03698838,0.04164553,0.0404473
projected,random,mimsy,16,0.03113729,0.03682595,0.03743994,0.03513439
projected,random,mimsy,17,0.0350771,0.03803396,0.03822011,0.03711039
projected,random,mimsy,18,0.03366184,0.04633689,0.04589176,0.0419635
projected,random,mimsy,19,0.03159368,0.05697137,0.05088472,0.04648326
projected,random,mimsy,20,0.04621989,0.06337678,0.0403983,0.04999832
projected,random,mimsy,21,0.03004616,0.03979313,0.04051697,0.03678542
projected,random,mimsy,22,0.03919792,0.04146135,0.03875816,0.03980581
projected,random,mimsy,23,0.03707445,0.0370208,0.03657228,0.03688918
projected,random,mimsy,24,0.03858101,0.04149497,0.06319165,0.04775588
projected,random,mimsy,25,0.03196955,0.04646879,0.0499903,0.04280955
projected,random,slithy,1,0.08531809,0.08363909,0.10231519,0.09042412
projected,random,slithy,2,0.05870068,0.0613457,0.0630675,0.06103796
projected,random,slithy,3,0.04529244,0.04572695,0.0480237,0.0463477
projected,random,slithy,4,0.03866398,0.03774887,0.03853673,0.03831653
projected,random,slithy,5,0.03603995,0.03251255,0.03282696,0.03379315
projected,random,slithy,6,0.03355157,0.03215748,0.03521895,0.03364267
projected,random,slithy,7,0.0325976,0.02915519,0.02723372,0.02966217
projected,random,slithy,8,0.03152704,0.0278123,0.02677774,0.02870569
projected,random,slithy,9,0.03095365,0.0283947,0.02610308,0.02848381
projected,random,slithy,10,0.02909827,0.02884948,0.0266124,0.02818672
projected,random,slithy,11,0.02885008,0.028063,0.02497995,0.02729768
projected,random,slithy,12,0.02939707,0.0255549,0.02730262,0.0274182
projected,random,slithy,13,0.02906394,0.02918887,0.02526689,0.0278399
projected,random,slithy,14,0.02815318,0.02537024,0.02445865,0.02599402
projected,random,slithy,15,0.02809554,0.0267303,0.02415752,0.02632779
projected,random,slithy,16,0.02834725,0.02492809,0.0257377,0.02633768
projected,random,slithy,17,0.02723193,0.02752322,0.02480888,0.02652134
projected,random,slithy,18,0.026411,0.02682358,0.02510631,0.02611363
projected,random,slithy,19,0.02766699,0.02723622,0.0274564,0.0274532
projected,random,slithy,20,0.02643943,0.02715695,0.02552235,0.02637291
projected,random,slithy,21,0.02714503,0.02667212,0.02597189,0.02659635
projected,random,slithy,22,0.02895361,0.02944154,0.02944791,0.02928102
projected,random,slithy,23,0.02730745,0.02538097,0.0235287,0.02540571
projected,random,slithy,24,0.02763528,0.02597111,0.02443695,0.02601445
projected,random,slithy,25,0.02697551,0.02923632,0.02840775,0.02820653
projected,random,vorpal,1,0.13317311,0.12206745,0.14559841,0.13361299
projected,random,vorpal,2,0.08042169,0.09384042,0.09781277,0.09069163
projected,random,vorpal,3,0.06044036,0.08039451,0.08339745,0.07474411
projected,random,vorpal,4,0.06068116,0.07657695,0.0575788,0.06494564
projected,random,vorpal,5,0.05070525,0.05215114,0.04373932,0.04886524
projected,random,vorpal,6,0.04816914,0.05640423,0.06667149,0.05708162
projected,random,vorpal,7,0.04854035,0.04677486,0.0370754,0.0441302
projected,random,vorpal,8,0.04183769,0.04446757,0.03606439,0.04078988
projected,random,vorpal,9,0.04678965,0.05830681,0.03840804,0.04783483
projected,random,vorpal,10,0.0323863,0.03997093,0.0384903,0.03694918
projected,random,vorpal,11,0.04207641,0.03660917,0.03515589,0.03794716
projected,random,vorpal,12,0.03135949,0.03867787,0.03975672,0.03659803
projected,random,vorpal,13,0.04065597,0.05378711,0.03736526,0.04393611
projected,random,vorpal,14,0.04396868,0.03497899,0.04316014,0.0407026
projected,random,vorpal,15,0.03378975,0.03332931,0.03754842,0.03488916
