space,condition,label,round,d_00_01,d_00_02,d_01_02,mean_pairwise_distance
raw,consensus,mimsy,1,0.01918906,0.0206995,0.02279156,0.02089337
raw,consensus,mimsy,2,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,3,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,4,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,5,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,6,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,7,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,8,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,9,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,10,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,11,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,12,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,13,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,14,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,15,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,16,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,17,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,18,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,19,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,20,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,21,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,22,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,23,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,24,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,mimsy,25,0.01797652,0.01934075,0.02137208,0.01956312
raw,consensus,slithy,1,0.03196442,0.02930182,0.03492105,0.03206243
raw,consensus,slithy,2,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,3,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,4,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,5,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,6,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,7,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,8,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,9,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,10,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,11,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,12,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,13,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,14,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,15,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,16,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,17,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,18,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,19,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,20,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,21,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,22,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,23,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,24,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,slithy,25,0.02664542,0.02264178,0.02173114,0.02367278
raw,consensus,vorpal,1,0.02011293,0.01874179,0.01587027,0.01824166
raw,consensus,vorpal,2,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,3,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,4,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,5,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,6,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,7,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,8,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,9,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,10,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,11,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,12,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,13,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,14,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,15,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,16,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,17,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,18,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,19,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,20,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,21,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,22,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,23,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,24,0.01456302,0.01398587,0.01504564,0.01453151
raw,consensus,vorpal,25,0.01456302,0.01398587,0.01504564,0.01453151
raw,frozen,mimsy,1,0.01918906,0.0206995,0.02279156,0.02089337
raw,frozen,mimsy,2,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,3,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,4,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,5,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,6,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,7,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,8,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,9,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,10,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,11,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,12,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,13,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,14,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,15,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,16,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,17,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,18,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,19,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,20,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,21,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,22,0.02353334,0.01934075,0.02602124,0.02296511
