experiment_id,condition,round,agent_id,image_id,true_category,predicted_label,confidence,margin,status,pool
exp_005b_frozen,frozen,1,agent_00,frog_015,frog,slithy,0.397922,0.250988,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_016,frog,slithy,0.520777,0.292313,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_017,frog,slithy,0.645509,0.486851,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_018,frog,slithy,0.353497,0.252085,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_019,frog,slithy,0.328579,0.102594,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_020,frog,slithy,0.459306,0.249562,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_021,frog,slithy,0.53628,0.364365,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_022,frog,slithy,0.413266,0.177246,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_023,frog,slithy,0.395608,0.238948,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_024,frog,slithy,0.529356,0.386897,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_025,frog,slithy,0.533763,0.349005,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_026,frog,slithy,0.336327,0.256001,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_027,frog,slithy,0.519476,0.429809,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_028,frog,slithy,0.366498,0.21812,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,frog_029,frog,slithy,0.430518,0.253098,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_015,horse,mimsy,0.539817,0.431029,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_016,horse,mimsy,0.414707,0.118935,rejected,interaction
exp_005b_frozen,frozen,1,agent_00,horse_017,horse,mimsy,0.682885,0.521077,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_018,horse,mimsy,0.625065,0.37103,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_019,horse,mimsy,0.535164,0.418722,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_020,horse,mimsy,0.463187,0.337461,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_021,horse,mimsy,0.569581,0.374615,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_022,horse,mimsy,0.667386,0.450204,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_023,horse,mimsy,0.709714,0.550787,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_024,horse,mimsy,0.603072,0.4376,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_025,horse,mimsy,0.627625,0.333392,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_026,horse,mimsy,0.588918,0.357112,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_027,horse,mimsy,0.46307,0.126376,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_028,horse,mimsy,0.625213,0.448026,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,horse_029,horse,mimsy,0.498538,0.33215,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_015,ship,vorpal,0.668182,0.488595,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_016,ship,vorpal,0.392827,0.261943,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_017,ship,vorpal,0.508133,0.241004,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_018,ship,vorpal,0.714662,0.532485,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_019,ship,UNCERTAIN,0.270284,0.077688,rejected,interaction
exp_005b_frozen,frozen,1,agent_00,ship_020,ship,vorpal,0.70803,0.527503,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_021,ship,vorpal,0.480992,0.196163,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_022,ship,vorpal,0.572723,0.380804,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_023,ship,vorpal,0.487019,0.3868,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_024,ship,UNCERTAIN,0.168574,0.08693,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_025,ship,vorpal,0.552488,0.314957,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_026,ship,vorpal,0.432626,0.247088,accepted,interaction
exp_005b_frozen,frozen,1,agent_00,ship_027,ship,vorpal,0.603092,0.453567,accepted,interaction
