condition,round,majority_agreement,unanimous_agreement,mean_entropy,label_coverage,label_balance_slithy,label_balance_mimsy,label_balance_vorpal,held_out_consensus_accuracy,held_out_inter_agent_agreement,per_agent_accuracy_agent_00,per_agent_accuracy_agent_01,per_agent_accuracy_agent_02
frozen,1,1.0,0.9111,0.0816,3,0.3333,0.3111,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,2,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,3,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,4,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,5,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,6,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,7,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,8,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,9,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,10,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,11,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,12,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,13,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,14,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,15,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,16,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,17,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,18,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,19,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,20,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,21,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,22,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,23,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,24,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
frozen,25,1.0,0.9333,0.0612,3,0.3333,0.3333,0.3111,1.0,1.0,1.0,1.0,1.0
consensus,1,1.0,0.9111,0.0816,3,0.3333,0.3111,0.3111,0.9833,1.0,0.9833,1.0,0.9833
consensus,2,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,3,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,4,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,5,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,6,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,7,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,8,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,9,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,10,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,11,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,12,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,13,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,14,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,15,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,16,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,17,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,18,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,19,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,20,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,21,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,22,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,23,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,24,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
consensus,25,1.0,1.0,-0.0,3,0.3333,0.3333,0.3333,0.9833,1.0,0.9833,1.0,0.9833
