regime,round,label,between_cluster_distance,mean_within_cluster_distance,lexical_divergence,is_bridge_round
vervet,1,slithy,0.00629127,0.01569777,-0.0094065,True
vervet,1,mimsy,0.00384891,0.01178548,-0.00793657,True
vervet,1,vorpal,0.00799781,0.01456564,-0.00656783,True
vervet,2,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,2,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,2,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,3,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,3,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,3,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,4,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,4,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,4,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,5,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,5,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,5,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,6,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,6,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,6,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,7,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,7,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,7,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,8,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,8,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,8,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,9,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,9,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,9,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,10,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,10,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,10,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,11,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,11,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,11,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,12,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,12,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,12,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,13,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,13,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,13,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,14,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,14,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,14,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,15,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,15,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,15,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,16,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,16,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,16,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,17,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,17,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,17,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,18,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,18,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,18,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,19,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,19,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,19,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,20,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,20,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,20,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,21,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,21,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,21,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,22,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,22,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,22,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,23,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,23,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,23,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,24,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,24,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,24,vorpal,0.00608879,0.01322248,-0.00713368,True
vervet,25,slithy,0.00551647,0.01314717,-0.0076307,True
vervet,25,mimsy,0.00361955,0.01108688,-0.00746733,True
vervet,25,vorpal,0.00608879,0.01322248,-0.00713368,True
raven,1,slithy,0.08456731,0.08370995,0.00085736,False
raven,1,mimsy,0.05600566,0.04915102,0.00685463,False
raven,1,vorpal,0.0666905,0.06268046,0.00401004,False
raven,2,slithy,0.07611775,0.04796483,0.02815292,False
raven,2,mimsy,0.05884421,0.0338837,0.02496051,False
raven,2,vorpal,0.0584783,0.04282077,0.01565752,False
raven,3,slithy,0.07944191,0.04730525,0.03213666,False
raven,3,mimsy,0.06022942,0.03013421,0.03009521,False
raven,3,vorpal,0.0618009,0.03844646,0.02335444,False
raven,4,slithy,0.07944191,0.04730525,0.03213666,False
raven,4,mimsy,0.06022942,0.03013421,0.03009521,False
raven,4,vorpal,0.06343675,0.03514075,0.02829599,False
raven,5,slithy,0.01123822,0.02781147,-0.01657325,True
raven,5,mimsy,0.00531656,0.01256374,-0.00724718,True
raven,5,vorpal,0.00685149,0.01436197,-0.00751047,True
raven,6,slithy,0.01243973,0.02690666,-0.01446693,False
raven,6,mimsy,0.00624877,0.01204589,-0.00579712,False
raven,6,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,7,slithy,0.01243973,0.02690666,-0.01446693,False
raven,7,mimsy,0.00624877,0.01204589,-0.00579712,False
raven,7,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,8,slithy,0.01351398,0.02506333,-0.01154934,False
raven,8,mimsy,0.00624877,0.01204589,-0.00579712,False
raven,8,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,9,slithy,0.01351398,0.02506333,-0.01154934,False
raven,9,mimsy,0.00624877,0.01204589,-0.00579712,False
raven,9,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,10,slithy,0.01099795,0.01924155,-0.0082436,True
raven,10,mimsy,0.00429308,0.0116579,-0.00736482,True
raven,10,vorpal,0.00685149,0.01436197,-0.00751047,True
raven,11,slithy,0.01026088,0.0179786,-0.00771772,False
raven,11,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,11,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,12,slithy,0.01148432,0.01721444,-0.00573011,False
raven,12,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,12,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,13,slithy,0.01148432,0.01721444,-0.00573011,False
raven,13,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,13,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,14,slithy,0.01148432,0.01721444,-0.00573011,False
raven,14,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,14,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,15,slithy,0.00977969,0.01392022,-0.00414053,True
raven,15,mimsy,0.00375122,0.01184709,-0.00809587,True
raven,15,vorpal,0.00608879,0.01322248,-0.00713368,True
raven,16,slithy,0.00977969,0.01392022,-0.00414053,False
raven,16,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,16,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,17,slithy,0.00977969,0.01392022,-0.00414053,False
