regime,round,label,between_cluster_distance,is_bridge_round
latin,1,mimsy,0.07939279,False
latin,2,mimsy,0.07167912,False
latin,3,mimsy,0.07099217,False
latin,4,mimsy,0.07155406,False
latin,5,mimsy,0.07155406,False
latin,6,mimsy,0.07155406,False
latin,7,mimsy,0.07155406,False
latin,8,mimsy,0.07155406,False
latin,9,mimsy,0.07155406,False
latin,10,mimsy,0.06831568,False
latin,11,mimsy,0.06831568,False
latin,12,mimsy,0.06713939,False
latin,13,mimsy,0.06713939,False
latin,14,mimsy,0.06713939,False
latin,15,mimsy,0.06713939,False
latin,16,mimsy,0.06713939,False
latin,17,mimsy,0.06713939,False
latin,18,mimsy,0.06713939,False
latin,19,mimsy,0.06713939,False
latin,20,mimsy,0.06713939,False
latin,21,mimsy,0.05848622,False
latin,22,mimsy,0.05848622,False
latin,23,mimsy,0.05848622,False
latin,24,mimsy,0.05848622,False
latin,25,mimsy,0.05848622,False
latin,1,slithy,0.1458562,False
latin,2,slithy,0.13986003,False
latin,3,slithy,0.15905106,False
latin,4,slithy,0.14703739,False
latin,5,slithy,0.14703739,False
latin,6,slithy,0.14703739,False
latin,7,slithy,0.14703739,False
latin,8,slithy,0.12838936,False
latin,9,slithy,0.12838936,False
latin,10,slithy,0.12838936,False
latin,11,slithy,0.12838936,False
latin,12,slithy,0.12838936,False
latin,13,slithy,0.12838936,False
latin,14,slithy,0.1256721,False
latin,15,slithy,0.1256721,False
latin,16,slithy,0.1256721,False
latin,17,slithy,0.1256721,False
latin,18,slithy,0.1256721,False
latin,19,slithy,0.1256721,False
latin,20,slithy,0.1256721,False
latin,21,slithy,0.1256721,False
latin,22,slithy,0.1256721,False
latin,23,slithy,0.1256721,False
latin,24,slithy,0.1256721,False
latin,25,slithy,0.11110651,False
latin,1,vorpal,0.12769961,False
latin,2,vorpal,0.12645447,False
latin,3,vorpal,0.12645447,False
latin,4,vorpal,0.12635684,False
latin,5,vorpal,0.12946117,False
latin,6,vorpal,0.08596867,False
latin,7,vorpal,0.08225465,False
latin,8,vorpal,0.08230025,False
latin,9,vorpal,0.08230025,False
latin,10,vorpal,0.08230025,False
latin,11,vorpal,0.08230025,False
latin,12,vorpal,0.08230025,False
latin,13,vorpal,0.08230025,False
latin,14,vorpal,0.08230025,False
latin,15,vorpal,0.08230025,False
latin,16,vorpal,0.08230025,False
latin,17,vorpal,0.06962353,False
latin,18,vorpal,0.06665653,False
latin,19,vorpal,0.06665653,False
latin,20,vorpal,0.06665653,False
latin,21,vorpal,0.06665653,False
latin,22,vorpal,0.06665653,False
latin,23,vorpal,0.06980062,False
latin,24,vorpal,0.07252043,False
latin,25,vorpal,0.06577265,False
raven,1,mimsy,0.05600566,False
raven,2,mimsy,0.05884421,False
raven,3,mimsy,0.06022942,False
raven,4,mimsy,0.06022942,False
raven,5,mimsy,0.00531656,True
raven,6,mimsy,0.00624877,False
raven,7,mimsy,0.00624877,False
raven,8,mimsy,0.00624877,False
raven,9,mimsy,0.00624877,False
raven,10,mimsy,0.00429308,True
raven,11,mimsy,0.00429308,False
raven,12,mimsy,0.00429308,False
raven,13,mimsy,0.00429308,False
raven,14,mimsy,0.00429308,False
raven,15,mimsy,0.00375122,True
raven,16,mimsy,0.00375122,False
raven,17,mimsy,0.00375122,False
raven,18,mimsy,0.00375122,False
raven,19,mimsy,0.00375122,False
raven,20,mimsy,0.00375122,True
raven,21,mimsy,0.00375122,False
raven,22,mimsy,0.00375122,False
raven,23,mimsy,0.00375122,False
raven,24,mimsy,0.00375122,False
raven,25,mimsy,0.00375122,True
raven,1,slithy,0.08456731,False
raven,2,slithy,0.07611775,False
raven,3,slithy,0.07944191,False
raven,4,slithy,0.07944191,False
raven,5,slithy,0.01123822,True
raven,6,slithy,0.01243973,False
raven,7,slithy,0.01243973,False
raven,8,slithy,0.01351398,False
raven,9,slithy,0.01351398,False
raven,10,slithy,0.01099795,True
raven,11,slithy,0.01026088,False
raven,12,slithy,0.01148432,False
raven,13,slithy,0.01148432,False
raven,14,slithy,0.01148432,False
raven,15,slithy,0.00977969,True
raven,16,slithy,0.00977969,False
raven,17,slithy,0.00977969,False
raven,18,slithy,0.00977969,False
raven,19,slithy,0.00977969,False
raven,20,slithy,0.00704783,True
raven,21,slithy,0.00704783,False
raven,22,slithy,0.00704783,False
raven,23,slithy,0.00704783,False
raven,24,slithy,0.00704783,False
raven,25,slithy,0.00704783,True
raven,1,vorpal,0.0666905,False
raven,2,vorpal,0.0584783,False
raven,3,vorpal,0.0618009,False
raven,4,vorpal,0.06343675,False
raven,5,vorpal,0.00685149,True
raven,6,vorpal,0.00685149,False
raven,7,vorpal,0.00685149,False
raven,8,vorpal,0.00685149,False
raven,9,vorpal,0.00685149,False
raven,10,vorpal,0.00685149,True
raven,11,vorpal,0.00685149,False
raven,12,vorpal,0.00685149,False
raven,13,vorpal,0.00685149,False
raven,14,vorpal,0.00685149,False
raven,15,vorpal,0.00608879,True
raven,16,vorpal,0.00608879,False
raven,17,vorpal,0.00608879,False
raven,18,vorpal,0.00608879,False
raven,19,vorpal,0.00608879,False
raven,20,vorpal,0.00608879,True
raven,21,vorpal,0.00608879,False
raven,22,vorpal,0.00608879,False
raven,23,vorpal,0.00608879,False
raven,24,vorpal,0.00608879,False
raven,25,vorpal,0.00608879,True
vervet,1,mimsy,0.00384891,True
vervet,2,mimsy,0.00361955,True
vervet,3,mimsy,0.00361955,True
vervet,4,mimsy,0.00361955,True
vervet,5,mimsy,0.00361955,True
vervet,6,mimsy,0.00361955,True
vervet,7,mimsy,0.00361955,True
vervet,8,mimsy,0.00361955,True
vervet,9,mimsy,0.00361955,True
vervet,10,mimsy,0.00361955,True
vervet,11,mimsy,0.00361955,True
vervet,12,mimsy,0.00361955,True
vervet,13,mimsy,0.00361955,True
vervet,14,mimsy,0.00361955,True
vervet,15,mimsy,0.00361955,True
vervet,16,mimsy,0.00361955,True
vervet,17,mimsy,0.00361955,True
vervet,18,mimsy,0.00361955,True
vervet,19,mimsy,0.00361955,True
vervet,20,mimsy,0.00361955,True
vervet,21,mimsy,0.00361955,True
vervet,22,mimsy,0.00361955,True
vervet,23,mimsy,0.00361955,True
vervet,24,mimsy,0.00361955,True
vervet,25,mimsy,0.00361955,True
vervet,1,slithy,0.00629127,True
vervet,2,slithy,0.00551647,True
vervet,3,slithy,0.00551647,True
vervet,4,slithy,0.00551647,True
vervet,5,slithy,0.00551647,True
vervet,6,slithy,0.00551647,True
vervet,7,slithy,0.00551647,True
vervet,8,slithy,0.00551647,True
vervet,9,slithy,0.00551647,True
vervet,10,slithy,0.00551647,True
vervet,11,slithy,0.00551647,True
vervet,12,slithy,0.00551647,True
vervet,13,slithy,0.00551647,True
vervet,14,slithy,0.00551647,True
vervet,15,slithy,0.00551647,True
vervet,16,slithy,0.00551647,True
vervet,17,slithy,0.00551647,True
vervet,18,slithy,0.00551647,True
vervet,19,slithy,0.00551647,True
vervet,20,slithy,0.00551647,True
vervet,21,slithy,0.00551647,True
vervet,22,slithy,0.00551647,True
vervet,23,slithy,0.00551647,True
vervet,24,slithy,0.00551647,True
vervet,25,slithy,0.00551647,True
vervet,1,vorpal,0.00799781,True
vervet,2,vorpal,0.00608879,True
vervet,3,vorpal,0.00608879,True
vervet,4,vorpal,0.00608879,True
vervet,5,vorpal,0.00608879,True
vervet,6,vorpal,0.00608879,True
vervet,7,vorpal,0.00608879,True
vervet,8,vorpal,0.00608879,True
vervet,9,vorpal,0.00608879,True
vervet,10,vorpal,0.00608879,True
vervet,11,vorpal,0.00608879,True
vervet,12,vorpal,0.00608879,True
vervet,13,vorpal,0.00608879,True
vervet,14,vorpal,0.00608879,True
vervet,15,vorpal,0.00608879,True
vervet,16,vorpal,0.00608879,True
vervet,17,vorpal,0.00608879,True
vervet,18,vorpal,0.00608879,True
vervet,19,vorpal,0.00608879,True
vervet,20,vorpal,0.00608879,True
vervet,21,vorpal,0.00608879,True
vervet,22,vorpal,0.00608879,True
vervet,23,vorpal,0.00608879,True
vervet,24,vorpal,0.00608879,True
vervet,25,vorpal,0.00608879,True
