regime,round,is_bridge_round,mean_within_cluster_distance,mean_between_cluster_distance,mean_lexical_divergence,shared_held_out_consensus_accuracy,between_cluster_label_agreement,per_cluster_acc_cluster_1,per_cluster_acc_cluster_2
vervet,1,True,0.014016,0.006046,-0.00797,0.9889,1.0,0.9889,0.9889
vervet,2,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,3,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,4,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,5,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,6,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,7,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,8,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,9,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,10,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,11,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,12,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,13,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,14,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,15,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,16,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,17,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,18,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,19,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,20,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,21,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,22,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,23,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,24,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
vervet,25,True,0.012486,0.005075,-0.007411,0.9888,0.9889,0.9889,0.9778
raven,1,False,0.06518,0.069088,0.003907,0.9886,0.9778,0.9889,0.9667
raven,2,False,0.041556,0.06448,0.022924,0.9888,0.9889,0.9889,0.9778
raven,3,False,0.038629,0.067157,0.028529,0.9888,0.9889,0.9889,0.9778
raven,4,False,0.037527,0.067703,0.030176,0.9888,0.9889,0.9889,0.9778
raven,5,True,0.018246,0.007802,-0.010444,0.9888,0.9889,0.9889,0.9778
raven,6,False,0.017772,0.008513,-0.009258,0.9888,0.9889,0.9889,0.9778
raven,7,False,0.017772,0.008513,-0.009258,0.9888,0.9889,0.9889,0.9778
raven,8,False,0.017157,0.008871,-0.008286,0.9888,0.9889,0.9889,0.9778
raven,9,False,0.017157,0.008871,-0.008286,0.9888,0.9889,0.9889,0.9778
raven,10,True,0.015087,0.007381,-0.007706,0.9889,1.0,0.9889,0.9889
raven,11,False,0.014666,0.007135,-0.007531,0.9889,1.0,0.9889,0.9889
raven,12,False,0.014411,0.007543,-0.006868,0.9889,1.0,0.9889,0.9889
raven,13,False,0.014411,0.007543,-0.006868,0.9889,1.0,0.9889,0.9889
raven,14,False,0.014411,0.007543,-0.006868,0.9889,1.0,0.9889,0.9889
raven,15,True,0.012997,0.00654,-0.006457,0.9888,0.9889,0.9889,0.9778
raven,16,False,0.012997,0.00654,-0.006457,0.9888,0.9889,0.9889,0.9778
raven,17,False,0.012997,0.00654,-0.006457,0.9888,0.9889,0.9889,0.9778
raven,18,False,0.012997,0.00654,-0.006457,0.9888,0.9889,0.9889,0.9778
raven,19,False,0.012997,0.00654,-0.006457,0.9888,0.9889,0.9889,0.9778
