regime,round,cluster_id,label,n_agents_with_centroid,within_cluster_distance
vervet,1,cluster_1,slithy,3,0.0184466
vervet,1,cluster_1,mimsy,3,0.01209726
vervet,1,cluster_1,vorpal,3,0.01810833
vervet,1,cluster_2,slithy,3,0.01294893
vervet,1,cluster_2,mimsy,3,0.0114737
vervet,1,cluster_2,vorpal,3,0.01102295
vervet,2,cluster_1,slithy,3,0.0133454
vervet,2,cluster_1,mimsy,3,0.01138886
vervet,2,cluster_1,vorpal,3,0.01542201
vervet,2,cluster_2,slithy,3,0.01294893
vervet,2,cluster_2,mimsy,3,0.0107849
vervet,2,cluster_2,vorpal,3,0.01102295
vervet,3,cluster_1,slithy,3,0.0133454
vervet,3,cluster_1,mimsy,3,0.01138886
vervet,3,cluster_1,vorpal,3,0.01542201
vervet,3,cluster_2,slithy,3,0.01294893
vervet,3,cluster_2,mimsy,3,0.0107849
vervet,3,cluster_2,vorpal,3,0.01102295
vervet,4,cluster_1,slithy,3,0.0133454
vervet,4,cluster_1,mimsy,3,0.01138886
vervet,4,cluster_1,vorpal,3,0.01542201
vervet,4,cluster_2,slithy,3,0.01294893
vervet,4,cluster_2,mimsy,3,0.0107849
vervet,4,cluster_2,vorpal,3,0.01102295
vervet,5,cluster_1,slithy,3,0.0133454
vervet,5,cluster_1,mimsy,3,0.01138886
vervet,5,cluster_1,vorpal,3,0.01542201
vervet,5,cluster_2,slithy,3,0.01294893
vervet,5,cluster_2,mimsy,3,0.0107849
vervet,5,cluster_2,vorpal,3,0.01102295
vervet,6,cluster_1,slithy,3,0.0133454
vervet,6,cluster_1,mimsy,3,0.01138886
vervet,6,cluster_1,vorpal,3,0.01542201
vervet,6,cluster_2,slithy,3,0.01294893
vervet,6,cluster_2,mimsy,3,0.0107849
vervet,6,cluster_2,vorpal,3,0.01102295
vervet,7,cluster_1,slithy,3,0.0133454
vervet,7,cluster_1,mimsy,3,0.01138886
vervet,7,cluster_1,vorpal,3,0.01542201
vervet,7,cluster_2,slithy,3,0.01294893
vervet,7,cluster_2,mimsy,3,0.0107849
vervet,7,cluster_2,vorpal,3,0.01102295
vervet,8,cluster_1,slithy,3,0.0133454
vervet,8,cluster_1,mimsy,3,0.01138886
vervet,8,cluster_1,vorpal,3,0.01542201
vervet,8,cluster_2,slithy,3,0.01294893
vervet,8,cluster_2,mimsy,3,0.0107849
vervet,8,cluster_2,vorpal,3,0.01102295
vervet,9,cluster_1,slithy,3,0.0133454
vervet,9,cluster_1,mimsy,3,0.01138886
vervet,9,cluster_1,vorpal,3,0.01542201
vervet,9,cluster_2,slithy,3,0.01294893
vervet,9,cluster_2,mimsy,3,0.0107849
vervet,9,cluster_2,vorpal,3,0.01102295
vervet,10,cluster_1,slithy,3,0.0133454
vervet,10,cluster_1,mimsy,3,0.01138886
vervet,10,cluster_1,vorpal,3,0.01542201
vervet,10,cluster_2,slithy,3,0.01294893
vervet,10,cluster_2,mimsy,3,0.0107849
vervet,10,cluster_2,vorpal,3,0.01102295
vervet,11,cluster_1,slithy,3,0.0133454
vervet,11,cluster_1,mimsy,3,0.01138886
vervet,11,cluster_1,vorpal,3,0.01542201
vervet,11,cluster_2,slithy,3,0.01294893
vervet,11,cluster_2,mimsy,3,0.0107849
vervet,11,cluster_2,vorpal,3,0.01102295
vervet,12,cluster_1,slithy,3,0.0133454
vervet,12,cluster_1,mimsy,3,0.01138886
vervet,12,cluster_1,vorpal,3,0.01542201
vervet,12,cluster_2,slithy,3,0.01294893
vervet,12,cluster_2,mimsy,3,0.0107849
vervet,12,cluster_2,vorpal,3,0.01102295
vervet,13,cluster_1,slithy,3,0.0133454
vervet,13,cluster_1,mimsy,3,0.01138886
vervet,13,cluster_1,vorpal,3,0.01542201
vervet,13,cluster_2,slithy,3,0.01294893
vervet,13,cluster_2,mimsy,3,0.0107849
vervet,13,cluster_2,vorpal,3,0.01102295
vervet,14,cluster_1,slithy,3,0.0133454
vervet,14,cluster_1,mimsy,3,0.01138886
vervet,14,cluster_1,vorpal,3,0.01542201
vervet,14,cluster_2,slithy,3,0.01294893
vervet,14,cluster_2,mimsy,3,0.0107849
vervet,14,cluster_2,vorpal,3,0.01102295
vervet,15,cluster_1,slithy,3,0.0133454
vervet,15,cluster_1,mimsy,3,0.01138886
vervet,15,cluster_1,vorpal,3,0.01542201
vervet,15,cluster_2,slithy,3,0.01294893
vervet,15,cluster_2,mimsy,3,0.0107849
vervet,15,cluster_2,vorpal,3,0.01102295
vervet,16,cluster_1,slithy,3,0.0133454
vervet,16,cluster_1,mimsy,3,0.01138886
vervet,16,cluster_1,vorpal,3,0.01542201
vervet,16,cluster_2,slithy,3,0.01294893
vervet,16,cluster_2,mimsy,3,0.0107849
vervet,16,cluster_2,vorpal,3,0.01102295
vervet,17,cluster_1,slithy,3,0.0133454
vervet,17,cluster_1,mimsy,3,0.01138886
vervet,17,cluster_1,vorpal,3,0.01542201
vervet,17,cluster_2,slithy,3,0.01294893
vervet,17,cluster_2,mimsy,3,0.0107849
vervet,17,cluster_2,vorpal,3,0.01102295
vervet,18,cluster_1,slithy,3,0.0133454
vervet,18,cluster_1,mimsy,3,0.01138886
vervet,18,cluster_1,vorpal,3,0.01542201
vervet,18,cluster_2,slithy,3,0.01294893
vervet,18,cluster_2,mimsy,3,0.0107849
vervet,18,cluster_2,vorpal,3,0.01102295
vervet,19,cluster_1,slithy,3,0.0133454
vervet,19,cluster_1,mimsy,3,0.01138886
vervet,19,cluster_1,vorpal,3,0.01542201
vervet,19,cluster_2,slithy,3,0.01294893
vervet,19,cluster_2,mimsy,3,0.0107849
vervet,19,cluster_2,vorpal,3,0.01102295
vervet,20,cluster_1,slithy,3,0.0133454
vervet,20,cluster_1,mimsy,3,0.01138886
vervet,20,cluster_1,vorpal,3,0.01542201
vervet,20,cluster_2,slithy,3,0.01294893
vervet,20,cluster_2,mimsy,3,0.0107849
vervet,20,cluster_2,vorpal,3,0.01102295
vervet,21,cluster_1,slithy,3,0.0133454
vervet,21,cluster_1,mimsy,3,0.01138886
vervet,21,cluster_1,vorpal,3,0.01542201
vervet,21,cluster_2,slithy,3,0.01294893
vervet,21,cluster_2,mimsy,3,0.0107849
vervet,21,cluster_2,vorpal,3,0.01102295
vervet,22,cluster_1,slithy,3,0.0133454
vervet,22,cluster_1,mimsy,3,0.01138886
vervet,22,cluster_1,vorpal,3,0.01542201
vervet,22,cluster_2,slithy,3,0.01294893
vervet,22,cluster_2,mimsy,3,0.0107849
vervet,22,cluster_2,vorpal,3,0.01102295
vervet,23,cluster_1,slithy,3,0.0133454
vervet,23,cluster_1,mimsy,3,0.01138886
vervet,23,cluster_1,vorpal,3,0.01542201
vervet,23,cluster_2,slithy,3,0.01294893
vervet,23,cluster_2,mimsy,3,0.0107849
vervet,23,cluster_2,vorpal,3,0.01102295
vervet,24,cluster_1,slithy,3,0.0133454
