sub,concept_type,learner,ways,shots,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high,nmi_pred_category_mean,nmi_pred_category_ci_low,nmi_pred_category_ci_high
007a,native,centroid,3,1,30,0.3333,0.9118,0.8829,0.934,0.9156,0.885,0.9394,0.2061,0.1926,0.2172,0.7527,0.6968,0.7972
007a,native,exemplar_knn,3,1,30,0.3333,0.9118,0.8829,0.934,0.9156,0.885,0.9394,0.2061,0.1926,0.2172,0.7527,0.6968,0.7972
007a,native,kcentroid,3,1,30,0.3333,0.9118,0.8829,0.934,0.9156,0.885,0.9394,0.2061,0.1926,0.2172,0.7527,0.6968,0.7972
007a,native,linsvm,3,1,30,0.3333,0.9109,0.8813,0.9329,0.9694,0.9439,0.9872,0.2998,0.2815,0.3154,0.7492,0.6903,0.7954
007a,native,logreg,3,1,30,0.3333,0.9113,0.8822,0.9336,0.9728,0.9505,0.9883,0.1576,0.1476,0.1659,0.7503,0.6925,0.7967
007a,native,random,3,1,30,0.3333,0.3262,0.3106,0.3402,0.3283,0.3022,0.3522,1.1936,1.1637,1.2216,0.0105,0.0083,0.0133
007a,native,centroid,3,10,30,0.3333,0.9836,0.9791,0.9878,0.99,0.985,0.995,0.3296,0.3175,0.3395,0.9336,0.9165,0.9497
007a,native,exemplar_knn,3,10,30,0.3333,0.9789,0.9724,0.9849,0.9944,0.9906,0.9983,1.3667,1.3411,1.3906,0.9184,0.8975,0.9385
007a,native,kcentroid,3,10,30,0.3333,0.9827,0.978,0.9871,0.9889,0.9822,0.9944,0.3259,0.3134,0.3364,0.9294,0.9114,0.9466
007a,native,linsvm,3,10,30,0.3333,0.9844,0.9798,0.9887,1.0,1.0,1.0,1.1993,1.1703,1.2234,0.9365,0.9189,0.9528
007a,native,logreg,3,10,30,0.3333,0.9827,0.9776,0.9878,1.0,1.0,1.0,1.0063,0.9768,1.0315,0.9313,0.9123,0.9498
007a,native,random,3,10,30,0.3333,0.3356,0.3189,0.3498,0.3361,0.3094,0.3595,1.2385,1.2048,1.2706,0.0142,0.0113,0.0174
007a,native,centroid,3,20,30,0.3333,0.9887,0.984,0.9922,0.9883,0.9811,0.9944,0.3455,0.3341,0.3569,0.9533,0.9358,0.9673
007a,native,exemplar_knn,3,20,30,0.3333,0.9862,0.982,0.9902,0.9967,0.9939,0.9989,1.5286,1.5087,1.5483,0.9457,0.9303,0.9611
007a,native,kcentroid,3,20,30,0.3333,0.9864,0.9824,0.9902,0.99,0.9828,0.9961,0.3503,0.3375,0.3617,0.9458,0.9304,0.9601
007a,native,linsvm,3,20,30,0.3333,0.9891,0.9856,0.9922,0.9994,0.9983,1.0,1.4593,1.4378,1.4788,0.9552,0.9416,0.9676
007a,native,logreg,3,20,30,0.3333,0.9889,0.9847,0.9922,0.9994,0.9983,1.0,1.4814,1.4457,1.5121,0.9546,0.9392,0.968
007a,native,random,3,20,30,0.3333,0.3349,0.3211,0.3471,0.3311,0.3078,0.3522,1.2147,1.1814,1.2494,0.0139,0.0109,0.0171
007a,native,centroid,3,3,30,0.3333,0.9724,0.9633,0.9798,0.9711,0.96,0.9805,0.2792,0.2695,0.2883,0.8991,0.8707,0.9225
007a,native,exemplar_knn,3,3,30,0.3333,0.9667,0.9575,0.9747,0.9894,0.9811,0.9956,0.9643,0.9302,0.9947,0.8801,0.852,0.9052
007a,native,kcentroid,3,3,30,0.3333,0.968,0.9582,0.9767,0.97,0.9567,0.9811,0.266,0.2572,0.275,0.8854,0.8549,0.914
007a,native,linsvm,3,3,30,0.3333,0.9727,0.9649,0.9798,0.9933,0.985,0.9994,0.6791,0.6601,0.6984,0.8995,0.8746,0.9229
007a,native,logreg,3,3,30,0.3333,0.9707,0.9627,0.9782,0.9933,0.985,0.9994,0.42,0.4064,0.4334,0.8941,0.8691,0.9176
007a,native,random,3,3,30,0.3333,0.3273,0.3127,0.3416,0.3517,0.335,0.3689,1.2187,1.1835,1.2525,0.0118,0.009,0.015
007a,native,centroid,3,5,30,0.3333,0.9809,0.9751,0.9858,0.98,0.9689,0.9884,0.3012,0.2868,0.3139,0.9244,0.9037,0.9422
007a,native,exemplar_knn,3,5,30,0.3333,0.9729,0.9618,0.9824,0.9933,0.9894,0.9967,1.1676,1.1314,1.1998,0.9055,0.8738,0.9343
007a,native,kcentroid,3,5,30,0.3333,0.9784,0.9713,0.9842,0.975,0.9628,0.985,0.2931,0.2786,0.3058,0.9178,0.8949,0.9381
007a,native,linsvm,3,5,30,0.3333,0.9827,0.9778,0.9869,0.9983,0.9961,1.0,0.9108,0.8825,0.9385,0.9315,0.9143,0.9463
007a,native,logreg,3,5,30,0.3333,0.9809,0.9753,0.9858,0.9967,0.9939,0.9989,0.6273,0.601,0.651,0.9264,0.9077,0.9433
007a,native,random,3,5,30,0.3333,0.3322,0.3147,0.3496,0.3083,0.2839,0.3322,1.2285,1.2055,1.2529,0.0152,0.0113,0.0204
007a,native,centroid,5,1,30,0.2,0.8479,0.824,0.8705,0.8543,0.8307,0.8757,0.1693,0.1604,0.1786,0.7111,0.6851,0.7385
007a,native,exemplar_knn,5,1,30,0.2,0.8479,0.824,0.8705,0.8537,0.831,0.8743,0.1693,0.1604,0.1786,0.7111,0.6851,0.7385
007a,native,kcentroid,5,1,30,0.2,0.8479,0.824,0.8705,0.8543,0.8307,0.8757,0.1693,0.1604,0.1786,0.7111,0.6851,0.7385
007a,native,linsvm,5,1,30,0.2,0.8571,0.8329,0.8795,0.909,0.887,0.9273,0.2504,0.2382,0.263,0.7222,0.695,0.7518
007a,native,logreg,5,1,30,0.2,0.856,0.8319,0.8788,0.9017,0.8787,0.921,0.1422,0.135,0.1495,0.7211,0.6939,0.7505
007a,native,random,5,1,30,0.2,0.2039,0.1957,0.2119,0.212,0.1983,0.226,1.1043,1.0843,1.1262,0.0225,0.0205,0.0247
007a,native,centroid,5,10,30,0.2,0.9784,0.9745,0.9816,0.9783,0.973,0.9837,0.2979,0.2943,0.3017,0.94,0.9303,0.9479
007a,native,exemplar_knn,5,10,30,0.2,0.9701,0.9659,0.9735,0.9873,0.983,0.9913,1.3347,1.3237,1.3456,0.9192,0.9083,0.9275
007a,native,kcentroid,5,10,30,0.2,0.9743,0.9704,0.9775,0.971,0.965,0.977,0.2897,0.2846,0.2948,0.9293,0.9195,0.9375
007a,native,linsvm,5,10,30,0.2,0.9792,0.9757,0.9823,0.9947,0.9913,0.9977,1.1124,1.1014,1.1235,0.9417,0.9322,0.95
007a,native,logreg,5,10,30,0.2,0.9788,0.9749,0.9821,0.994,0.991,0.9967,1.0401,1.0296,1.0515,0.941,0.9307,0.9497
007a,native,random,5,10,30,0.2,0.2028,0.1939,0.2113,0.201,0.1857,0.2177,1.1174,1.096,1.1383,0.0214,0.0188,0.024
007a,native,centroid,5,20,30,0.2,0.9805,0.9772,0.9839,0.9777,0.973,0.9823,0.313,0.3102,0.3158,0.9455,0.9366,0.9545
007a,native,exemplar_knn,5,20,30,0.2,0.9737,0.97,0.9775,0.9903,0.9867,0.9933,1.4874,1.4792,1.4966,0.9284,0.9183,0.9382
007a,native,kcentroid,5,20,30,0.2,0.9781,0.9737,0.9825,0.9783,0.9713,0.985,0.3137,0.3093,0.3179,0.94,0.9286,0.9515
007a,native,linsvm,5,20,30,0.2,0.9819,0.9783,0.9855,0.9957,0.9927,0.9983,1.3721,1.3615,1.3822,0.9489,0.9394,0.9587
007a,native,logreg,5,20,30,0.2,0.9808,0.9779,0.984,0.995,0.992,0.9977,1.5456,1.535,1.5567,0.9451,0.9373,0.9539
007a,native,random,5,20,30,0.2,0.2,0.1911,0.2088,0.199,0.1863,0.2123,1.1097,1.0826,1.1409,0.0192,0.0173,0.0215
007a,native,centroid,5,3,30,0.2,0.9536,0.9471,0.9613,0.9503,0.9403,0.962,0.2406,0.2349,0.2464,0.8862,0.8721,0.9023
007a,native,exemplar_knn,5,3,30,0.2,0.9416,0.936,0.9472,0.977,0.969,0.9843,0.8383,0.8099,0.8677,0.8593,0.8481,0.8712
007a,native,kcentroid,5,3,30,0.2,0.9393,0.9328,0.9455,0.938,0.924,0.9503,0.2288,0.2236,0.2341,0.8556,0.8433,0.8677
007a,native,linsvm,5,3,30,0.2,0.9548,0.9489,0.9613,0.982,0.9747,0.9883,0.599,0.5877,0.6114,0.8883,0.8761,0.9023
007a,native,logreg,5,3,30,0.2,0.9549,0.9483,0.9625,0.9813,0.9753,0.9873,0.4041,0.3943,0.4144,0.8889,0.8751,0.9046
007a,native,random,5,3,30,0.2,0.2025,0.1937,0.2133,0.1937,0.1797,0.2083,1.0952,1.0707,1.1198,0.0207,0.0183,0.0232
007a,native,centroid,5,5,30,0.2,0.9689,0.9637,0.9737,0.9637,0.957,0.97,0.2669,0.2613,0.2721,0.9184,0.9077,0.9283
007a,native,exemplar_knn,5,5,30,0.2,0.9593,0.9548,0.9636,0.9863,0.9813,0.9913,1.1085,1.0907,1.1263,0.8953,0.8866,0.9038
007a,native,kcentroid,5,5,30,0.2,0.962,0.9552,0.9684,0.9563,0.9467,0.9653,0.2578,0.2517,0.2639,0.9036,0.8898,0.917
007a,native,linsvm,5,5,30,0.2,0.9713,0.9661,0.9763,0.9923,0.9897,0.995,0.818,0.8047,0.8311,0.9231,0.9119,0.9344
007a,native,logreg,5,5,30,0.2,0.9703,0.9644,0.9755,0.9917,0.988,0.995,0.6239,0.6125,0.6346,0.9219,0.9104,0.9334
007a,native,random,5,5,30,0.2,0.1968,0.1877,0.2063,0.199,0.183,0.2143,1.1026,1.0822,1.122,0.0225,0.02,0.0252
007b,disjunctive,centroid,3,1,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196,0.3133,0.276,0.3548
007b,disjunctive,exemplar_knn_k1,3,1,30,0.3333,0.5227,0.5013,0.5434,0.5578,0.5283,0.5861,0.2506,0.2408,0.2617,0.3133,0.276,0.3548
007b,disjunctive,exemplar_knn_k3,3,1,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196,0.3133,0.276,0.3548
007b,disjunctive,exemplar_knn_k5,3,1,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196,0.3133,0.276,0.3548
007b,disjunctive,kcentroid_k1,3,1,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196,0.3133,0.276,0.3548
007b,disjunctive,kcentroid_k2,3,1,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196,0.3133,0.276,0.3548
007b,disjunctive,kcentroid_k3,3,1,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196,0.3133,0.276,0.3548
007b,disjunctive,linsvm,3,1,30,0.3333,0.5247,0.5015,0.5462,0.5839,0.5517,0.6145,0.1659,0.1549,0.178,0.3217,0.2862,0.3624
007b,disjunctive,logreg,3,1,30,0.3333,0.5244,0.5,0.5467,0.5855,0.5533,0.6139,0.0864,0.0808,0.0928,0.3207,0.2848,0.3619
007b,disjunctive,random,3,1,30,0.3333,0.3275,0.3144,0.3402,0.3178,0.2928,0.34,1.2173,1.1857,1.2462,0.0244,0.0206,0.0287
007b,disjunctive,centroid,3,10,30,0.3333,0.5049,0.4829,0.5276,0.5006,0.47,0.53,0.1504,0.1408,0.1597,0.4347,0.4075,0.4589
007b,disjunctive,exemplar_knn_k1,3,10,30,0.3333,0.5164,0.4926,0.5415,0.5539,0.5233,0.5817,0.36,0.3545,0.3654,0.3888,0.364,0.4123
007b,disjunctive,exemplar_knn_k3,3,10,30,0.3333,0.5047,0.4811,0.5293,0.5628,0.5305,0.5967,0.742,0.7101,0.7742,0.3984,0.3732,0.4225
007b,disjunctive,exemplar_knn_k5,3,10,30,0.3333,0.5007,0.4807,0.5229,0.5672,0.5372,0.5995,1.0315,0.9825,1.0805,0.3985,0.3707,0.4243
007b,disjunctive,kcentroid_k1,3,10,30,0.3333,0.5049,0.4829,0.5276,0.5006,0.47,0.53,0.1504,0.1408,0.1597,0.4347,0.4075,0.4589
007b,disjunctive,kcentroid_k2,3,10,30,0.3333,0.5064,0.4853,0.5296,0.5072,0.4766,0.5389,0.1483,0.1384,0.1576,0.4072,0.3793,0.4326
007b,disjunctive,kcentroid_k3,3,10,30,0.3333,0.5067,0.4827,0.5333,0.5094,0.4778,0.5411,0.1475,0.1386,0.1559,0.4065,0.3787,0.4313
007b,disjunctive,linsvm,3,10,30,0.3333,0.5144,0.4915,0.5393,0.5828,0.5505,0.6195,0.6402,0.6085,0.6718,0.4779,0.4482,0.5042
007b,disjunctive,logreg,3,10,30,0.3333,0.5178,0.4949,0.5411,0.5822,0.5489,0.62,0.5148,0.4862,0.5439,0.4836,0.456,0.5091
007b,disjunctive,random,3,10,30,0.3333,0.3171,0.3042,0.33,0.315,0.2894,0.3422,1.2177,1.1819,1.2527,0.024,0.0203,0.0279
007b,disjunctive,centroid,3,20,30,0.3333,0.4271,0.4015,0.4542,0.4322,0.4083,0.4567,0.1229,0.1126,0.133,0.4049,0.3667,0.4397
007b,disjunctive,exemplar_knn_k1,3,20,30,0.3333,0.4249,0.4009,0.4518,0.4795,0.4467,0.5106,0.366,0.3566,0.3751,0.3816,0.3381,0.4223
007b,disjunctive,exemplar_knn_k3,3,20,30,0.3333,0.4118,0.388,0.4382,0.4883,0.4583,0.5206,0.7574,0.7092,0.8017,0.3915,0.3484,0.4305
007b,disjunctive,exemplar_knn_k5,3,20,30,0.3333,0.4127,0.386,0.4407,0.4855,0.4567,0.5161,1.0887,1.0115,1.1616,0.3933,0.3481,0.4337
007b,disjunctive,kcentroid_k1,3,20,30,0.3333,0.4271,0.4015,0.4542,0.4322,0.4083,0.4567,0.1229,0.1126,0.133,0.4049,0.3667,0.4397
007b,disjunctive,kcentroid_k2,3,20,30,0.3333,0.4238,0.3978,0.4484,0.4333,0.4094,0.4572,0.1261,0.1153,0.1364,0.393,0.3512,0.4306
