tier,learner,ways,shots,pool_type,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high
far,centroid,3,1,std_nway,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196
far,centroid,3,10,std_nway,30,0.3333,0.5049,0.4829,0.5276,0.5006,0.47,0.53,0.1504,0.1408,0.1597
far,centroid,3,20,std_nway,30,0.3333,0.4271,0.4015,0.4542,0.4322,0.4083,0.4567,0.1229,0.1126,0.133
far,centroid,3,3,std_nway,30,0.3333,0.5456,0.5273,0.5642,0.555,0.5266,0.5844,0.1349,0.1265,0.1435
far,centroid,3,5,std_nway,30,0.3333,0.5289,0.5067,0.5522,0.5344,0.5116,0.5545,0.1485,0.1369,0.1598
far,centroid,5,1,std_nway,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103
far,centroid,5,10,std_nway,30,0.2,0.4289,0.4173,0.4409,0.417,0.395,0.4383,0.1319,0.1267,0.1365
far,centroid,5,20,std_nway,30,0.2,0.356,0.3452,0.3664,0.3407,0.326,0.3567,0.1183,0.111,0.1247
far,centroid,5,3,std_nway,30,0.2,0.48,0.4681,0.492,0.467,0.447,0.487,0.1234,0.1182,0.1286
far,centroid,5,5,std_nway,30,0.2,0.4592,0.4512,0.4675,0.47,0.451,0.4893,0.1332,0.1271,0.1387
far,exemplar_knn_k1,3,1,std_nway,30,0.3333,0.5227,0.5013,0.5434,0.5578,0.5283,0.5861,0.2506,0.2408,0.2617
far,exemplar_knn_k1,3,10,std_nway,30,0.3333,0.5164,0.4926,0.5415,0.5539,0.5233,0.5817,0.36,0.3545,0.3654
far,exemplar_knn_k1,3,20,std_nway,30,0.3333,0.4249,0.4009,0.4518,0.4795,0.4467,0.5106,0.366,0.3566,0.3751
far,exemplar_knn_k1,3,3,std_nway,30,0.3333,0.5371,0.518,0.5567,0.59,0.5678,0.6139,0.3179,0.31,0.326
far,exemplar_knn_k1,3,5,std_nway,30,0.3333,0.5229,0.5018,0.5433,0.5733,0.5478,0.5978,0.3447,0.3348,0.3557
far,exemplar_knn_k1,5,1,std_nway,30,0.2,0.4513,0.4391,0.4641,0.4633,0.4407,0.4877,0.279,0.272,0.2863
far,exemplar_knn_k1,5,10,std_nway,30,0.2,0.4204,0.4091,0.4325,0.4543,0.4353,0.4757,0.3873,0.3828,0.3913
far,exemplar_knn_k1,5,20,std_nway,30,0.2,0.3516,0.3411,0.3628,0.3797,0.363,0.3987,0.3942,0.388,0.3999
far,exemplar_knn_k1,5,3,std_nway,30,0.2,0.4724,0.4601,0.4861,0.4917,0.47,0.5147,0.3406,0.3351,0.3466
far,exemplar_knn_k1,5,5,std_nway,30,0.2,0.4655,0.4552,0.4756,0.4927,0.4703,0.5187,0.363,0.3584,0.3678
far,exemplar_knn_k3,3,1,std_nway,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196
far,exemplar_knn_k3,3,10,std_nway,30,0.3333,0.5047,0.4811,0.5293,0.5628,0.5305,0.5967,0.742,0.7101,0.7742
far,exemplar_knn_k3,3,20,std_nway,30,0.3333,0.4118,0.388,0.4382,0.4883,0.4583,0.5206,0.7574,0.7092,0.8017
far,exemplar_knn_k3,3,3,std_nway,30,0.3333,0.5389,0.5231,0.5551,0.6033,0.5744,0.6344,0.4743,0.4472,0.5017
far,exemplar_knn_k3,3,5,std_nway,30,0.3333,0.5238,0.504,0.5438,0.5822,0.5533,0.6111,0.6363,0.594,0.6799
far,exemplar_knn_k3,5,1,std_nway,30,0.2,0.4513,0.4391,0.4641,0.466,0.441,0.4907,0.1051,0.1002,0.1103
far,exemplar_knn_k3,5,10,std_nway,30,0.2,0.4189,0.4088,0.4303,0.4577,0.4366,0.4787,0.7308,0.7092,0.7513
far,exemplar_knn_k3,5,20,std_nway,30,0.2,0.3496,0.3383,0.3619,0.382,0.3646,0.403,0.751,0.7211,0.7784
far,exemplar_knn_k3,5,3,std_nway,30,0.2,0.4676,0.4559,0.4807,0.498,0.476,0.521,0.4429,0.4231,0.4642
