tier,cat_a,cat_b,inter_member_distance,ns_silhouette,nmi_native,passes_gate,exclusion_reason
near,cat,dog,0.2795,0.1251,0.357,True,
near,bird,deer,0.3979,0.0975,0.357,True,
near,automobile,truck,0.3985,0.2097,0.357,True,
near,deer,horse,0.4178,0.1954,0.357,True,
near,cat,frog,0.4489,0.1374,0.357,True,
near,bird,frog,0.4617,0.0869,0.357,True,
near,bird,cat,0.4703,0.0705,0.357,True,
mid,deer,dog,0.5294,0.0922,0.357,True,
mid,airplane,ship,0.5305,0.1414,0.357,True,
mid,airplane,automobile,0.5551,0.1274,0.357,True,
mid,deer,frog,0.5735,0.1245,0.357,True,
mid,dog,horse,0.5754,0.112,0.357,True,
mid,ship,truck,0.5814,0.1697,0.357,True,
mid,automobile,ship,0.582,0.1517,0.357,True,
mid,bird,horse,0.6167,0.0862,0.357,True,
mid,cat,horse,0.617,0.1283,0.357,True,
mid,airplane,truck,0.6169,0.1304,0.357,True,
