tier,pool_type,learner,n_episodes,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high
native,std_nway,centroid,30,0.9429,0.9218,0.9609,0.9256,0.895,0.9517
native,std_nway,exemplar_knn_k3,30,0.9316,0.9102,0.9507,0.975,0.9583,0.9883
native,std_nway,kcentroid_k2,30,0.9369,0.9187,0.9536,0.9322,0.9011,0.9583
native,std_nway,logreg,30,0.9491,0.9273,0.9662,0.9856,0.9761,0.9933
native,std_nway,linsvm,30,0.9498,0.928,0.9664,0.985,0.9739,0.9939
native,std_nway,random,30,0.3462,0.3331,0.3591,0.3411,0.3128,0.3678
native,small,centroid,30,0.9429,0.9218,0.9609,0.9033,0.8655,0.9356
native,small,exemplar_knn_k3,30,0.9316,0.9102,0.9507,0.9622,0.9394,0.9811
native,small,kcentroid_k2,30,0.9369,0.9187,0.9536,0.9028,0.8678,0.9344
native,small,logreg,30,0.9491,0.9273,0.9662,0.9756,0.9589,0.9883
native,small,linsvm,30,0.9498,0.928,0.9664,0.9794,0.9639,0.9911
native,small,random,30,0.3462,0.3331,0.3591,0.2106,0.1905,0.2311
native,medium,centroid,30,0.9429,0.9218,0.9609,0.8667,0.8228,0.9056
native,medium,exemplar_knn_k3,30,0.9316,0.9102,0.9507,0.9417,0.9111,0.9678
native,medium,kcentroid_k2,30,0.9369,0.9187,0.9536,0.8589,0.8205,0.8956
native,medium,logreg,30,0.9491,0.9273,0.9662,0.9539,0.9261,0.9767
native,medium,linsvm,30,0.9498,0.928,0.9664,0.96,0.9339,0.98
native,medium,random,30,0.3462,0.3331,0.3591,0.1161,0.1022,0.1306
native,large,centroid,30,0.9429,0.9218,0.9609,0.81,0.7605,0.8578
native,large,exemplar_knn_k3,30,0.9316,0.9102,0.9507,0.9028,0.8589,0.9389
native,large,kcentroid_k2,30,0.9369,0.9187,0.9536,0.8078,0.7556,0.8561
native,large,logreg,30,0.9491,0.9273,0.9662,0.9344,0.9006,0.9622
native,large,linsvm,30,0.9498,0.928,0.9664,0.9367,0.9011,0.9661
native,large,random,30,0.3462,0.3331,0.3591,0.0472,0.0383,0.0567
native,hard,centroid,30,0.9429,0.9218,0.9609,0.465,0.4155,0.5144
native,hard,exemplar_knn_k3,30,0.9316,0.9102,0.9507,0.4967,0.4456,0.5478
