pool_type,tier,gap_mean,gap_ci_low,gap_ci_high,native_gap_mean,native_gap_ci_low,native_gap_ci_high,gap_vs_native_mean,gap_vs_native_ci_low,gap_vs_native_ci_high,significant_vs_native
std_nway,native,0.0494,0.0333,0.0694,0.0494,0.0333,0.0694,-0.0004,-0.025,0.0244,False
std_nway,near,0.0783,0.0622,0.095,0.0494,0.0333,0.0694,0.0285,0.0022,0.0533,True
std_nway,mid,0.0656,0.045,0.0861,0.0494,0.0333,0.0694,0.0158,-0.0117,0.0428,False
std_nway,far,0.0644,0.0439,0.085,0.0494,0.0333,0.0694,0.0143,-0.0144,0.0411,False
small,native,0.0589,0.0406,0.0778,0.0589,0.0406,0.0778,-0.0003,-0.0261,0.0256,False
small,near,0.0933,0.0733,0.1133,0.0589,0.0406,0.0778,0.034,0.0055,0.0611,True
small,mid,0.0717,0.0489,0.0939,0.0589,0.0406,0.0778,0.0125,-0.0161,0.0422,False
small,far,0.0428,0.0244,0.0628,0.0589,0.0406,0.0778,-0.0167,-0.0439,0.01,False
medium,native,0.075,0.0556,0.0967,0.075,0.0556,0.0967,-0.0003,-0.0283,0.0278,False
medium,near,0.1044,0.0778,0.1306,0.075,0.0556,0.0967,0.0291,-0.0056,0.0611,False
medium,mid,0.0889,0.0694,0.1111,0.075,0.0556,0.0967,0.0134,-0.0167,0.0417,False
medium,far,0.0189,0.0067,0.0311,0.075,0.0556,0.0967,-0.0568,-0.0817,-0.0328,False
large,native,0.0928,0.0717,0.1139,0.0928,0.0717,0.1139,-0.0002,-0.0306,0.03,False
large,near,0.1022,0.0761,0.1267,0.0928,0.0717,0.1139,0.0091,-0.0233,0.0411,False
large,mid,0.0767,0.0528,0.1006,0.0928,0.0717,0.1139,-0.0165,-0.0472,0.0161,False
large,far,0.0167,0.005,0.0289,0.0928,0.0717,0.1139,-0.0767,-0.1011,-0.0522,False
hard,native,0.0317,0.0067,0.0556,0.0317,0.0067,0.0556,-0.0004,-0.0372,0.0345,False
hard,near,0.0739,0.0506,0.0978,0.0317,0.0067,0.0556,0.042,0.0072,0.0767,True
hard,mid,0.0661,0.0467,0.0883,0.0317,0.0067,0.0556,0.0346,0.0033,0.0678,True
hard,far,0.0483,0.0272,0.0711,0.0317,0.0067,0.0556,0.0165,-0.0156,0.0511,False
oov_25,native,0.0394,0.0261,0.0539,0.0394,0.0261,0.0539,-0.0002,-0.0206,0.0194,False
oov_25,near,0.07,0.05,0.0894,0.0394,0.0261,0.0539,0.03,0.005,0.0539,True
oov_25,mid,0.045,0.0256,0.0656,0.0394,0.0261,0.0539,0.0052,-0.0194,0.0306,False
oov_25,far,0.0111,-0.0044,0.0272,0.0394,0.0261,0.0539,-0.0287,-0.05,-0.0067,False
oov_50,native,0.0233,0.0078,0.04,0.0233,0.0078,0.04,-0.0002,-0.0233,0.0217,False
oov_50,near,0.0456,0.0233,0.0672,0.0233,0.0078,0.04,0.0222,-0.0045,0.05,False
oov_50,mid,0.0194,0.0011,0.0383,0.0233,0.0078,0.04,-0.004,-0.0283,0.0211,False
oov_50,far,0.0033,-0.0056,0.0128,0.0233,0.0078,0.04,-0.0202,-0.0389,-0.0011,False
