pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
0,apple,aquarium_fish,fruit_and_vegetables,fish,False,0.785177,0.636364,Q2
1,apple,baby,fruit_and_vegetables,people,False,0.753465,0.636364,Q2
2,apple,bear,fruit_and_vegetables,large_carnivores,False,0.833981,0.666667,Q2
3,apple,beaver,fruit_and_vegetables,aquatic_mammals,False,0.787012,0.666667,Q2
4,apple,bed,fruit_and_vegetables,household_furniture,False,0.883882,0.619048,Q2
5,apple,bee,fruit_and_vegetables,insects,False,0.820122,0.652174,Q2
6,apple,beetle,fruit_and_vegetables,insects,False,0.740561,0.636364,Q2
7,apple,bicycle,fruit_and_vegetables,vehicles_1,False,0.788027,0.6,Q3
8,apple,bottle,fruit_and_vegetables,food_containers,False,0.76794,0.6,Q3
9,apple,bowl,fruit_and_vegetables,food_containers,False,0.603405,0.6,Q1
10,apple,boy,fruit_and_vegetables,people,False,0.745404,0.6,Q3
11,apple,bridge,fruit_and_vegetables,large_man_made_outdoor_things,False,0.848693,0.555556,Q3
12,apple,bus,fruit_and_vegetables,vehicles_1,False,0.821937,0.6,Q3
13,apple,butterfly,fruit_and_vegetables,insects,False,0.830295,0.652174,Q2
14,apple,camel,fruit_and_vegetables,large_omnivores_and_herbivores,False,0.820321,0.68,Q2
15,apple,can,fruit_and_vegetables,food_containers,False,0.732645,0.578947,Q3
16,apple,castle,fruit_and_vegetables,large_man_made_outdoor_things,False,0.842033,0.619048,Q2
17,apple,caterpillar,fruit_and_vegetables,insects,False,0.818032,0.6,Q3
18,apple,cattle,fruit_and_vegetables,large_omnivores_and_herbivores,False,0.791414,0.714286,Q2
19,apple,chair,fruit_and_vegetables,household_furniture,False,0.806737,0.619048,Q2
20,apple,chimpanzee,fruit_and_vegetables,large_omnivores_and_herbivores,False,0.784447,0.703704,Q2
21,apple,clock,fruit_and_vegetables,household_electrical_devices,False,0.728214,0.636364,Q2
22,apple,cloud,fruit_and_vegetables,large_natural_outdoor_scenes,False,0.7922,0.733333,Q2
23,apple,cockroach,fruit_and_vegetables,insects,False,0.79365,0.652174,Q2
24,apple,couch,fruit_and_vegetables,household_furniture,False,0.828058,0.619048,Q2
25,apple,crab,fruit_and_vegetables,non_insect_invertebrates,False,0.763972,0.652174,Q2
26,apple,crocodile,fruit_and_vegetables,reptiles,False,0.821253,0.666667,Q2
27,apple,cup,fruit_and_vegetables,food_containers,False,0.716807,0.578947,Q3
28,apple,dinosaur,fruit_and_vegetables,reptiles,False,0.801764,0.666667,Q2
29,apple,dolphin,fruit_and_vegetables,aquatic_mammals,False,0.844612,0.703704,Q2
30,apple,elephant,fruit_and_vegetables,large_omnivores_and_herbivores,False,0.817117,0.666667,Q2
31,apple,flatfish,fruit_and_vegetables,fish,False,0.742027,0.375,Q3
32,apple,forest,fruit_and_vegetables,large_natural_outdoor_scenes,False,0.80776,0.857143,Q2
33,apple,fox,fruit_and_vegetables,medium_mammals,False,0.847577,0.68,Q2
34,apple,girl,fruit_and_vegetables,people,False,0.762357,0.619048,Q2
35,apple,hamster,fruit_and_vegetables,small_mammals,False,0.78891,0.666667,Q2
36,apple,house,fruit_and_vegetables,large_man_made_outdoor_things,False,0.823893,0.578947,Q3
37,apple,kangaroo,fruit_and_vegetables,large_omnivores_and_herbivores,False,0.828525,0.666667,Q2
38,apple,keyboard,fruit_and_vegetables,household_electrical_devices,False,0.793369,0.6,Q3
39,apple,lamp,fruit_and_vegetables,household_electrical_devices,False,0.726335,0.6,Q3
40,apple,lawn_mower,fruit_and_vegetables,vehicles_2,False,0.777439,0.619048,Q2
41,apple,leopard,fruit_and_vegetables,large_carnivores,False,0.8942,0.666667,Q2
42,apple,lion,fruit_and_vegetables,large_carnivores,False,0.808085,0.692308,Q2
43,apple,lizard,fruit_and_vegetables,reptiles,False,0.76888,0.666667,Q2
44,apple,lobster,fruit_and_vegetables,non_insect_invertebrates,False,0.699694,0.375,Q1
45,apple,man,fruit_and_vegetables,people,False,0.768773,0.6,Q3
46,apple,maple_tree,fruit_and_vegetables,trees,False,0.76533,0.625,Q2
47,apple,motorcycle,fruit_and_vegetables,vehicles_1,False,0.792954,0.636364,Q2
48,apple,mountain,fruit_and_vegetables,large_natural_outdoor_scenes,False,0.801988,0.625,Q2
49,apple,mouse,fruit_and_vegetables,small_mammals,False,0.760011,0.666667,Q2
50,apple,mushroom,fruit_and_vegetables,fruit_and_vegetables,True,0.801117,0.619048,Q2
51,apple,oak_tree,fruit_and_vegetables,trees,False,0.771062,0.625,Q2
52,apple,orange,fruit_and_vegetables,fruit_and_vegetables,True,0.493074,0.217391,Q1
53,apple,orchid,fruit_and_vegetables,flowers,False,0.807842,0.652174,Q2
