sample_id,pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
0,452,beaver,ray,aquatic_mammals,fish,False,0.515666,0.578947,Q1
1,499,bed,chair,household_furniture,household_furniture,True,0.614322,0.2,Q1
2,579,bee,beetle,insects,insects,True,0.398431,0.130435,Q1
3,679,beetle,camel,insects,large_omnivores_and_herbivores,False,0.689702,0.44,Q1
4,932,bottle,television,food_containers,household_electrical_devices,False,0.659404,0.368421,Q1
5,1013,bowl,spider,food_containers,non_insect_invertebrates,False,0.677936,0.6,Q1
6,1622,castle,turtle,large_man_made_outdoor_things,reptiles,False,0.682951,0.5,Q1
7,1873,chimpanzee,crab,large_omnivores_and_herbivores,non_insect_invertebrates,False,0.645166,0.5,Q1
8,1885,chimpanzee,kangaroo,large_omnivores_and_herbivores,large_omnivores_and_herbivores,True,0.654223,0.310345,Q1
9,1972,clock,motorcycle,household_electrical_devices,vehicles_1,False,0.710248,0.454545,Q1
10,2332,crocodile,kangaroo,reptiles,large_omnivores_and_herbivores,False,0.433903,0.307692,Q1
11,2369,crocodile,skunk,reptiles,medium_mammals,False,0.446824,0.478261,Q1
12,2426,cup,plate,food_containers,food_containers,True,0.544535,0.2,Q1
13,3017,house,pickup_truck,large_man_made_outdoor_things,vehicles_1,False,0.463699,0.473684,Q1
14,3213,lamp,shrew,household_electrical_devices,small_mammals,False,0.701458,0.6,Q1
15,3375,lion,rabbit,large_carnivores,small_mammals,False,0.553107,0.241379,Q1
16,3442,lizard,snail,reptiles,non_insect_invertebrates,False,0.515372,0.416667,Q1
17,3552,man,squirrel,people,small_mammals,False,0.582671,0.454545,Q1
18,3565,man,turtle,people,reptiles,False,0.690216,0.578947,Q1
19,3747,mouse,shark,small_mammals,fish,False,0.630985,0.333333,Q1
20,3748,mouse,shrew,small_mammals,small_mammals,True,0.141426,0.5,Q1
21,4178,plain,rocket,large_natural_outdoor_scenes,vehicles_2,False,0.500003,0.571429,Q1
22,4208,plain,worm,large_natural_outdoor_scenes,non_insect_invertebrates,False,0.706222,0.571429,Q1
23,4630,shrew,squirrel,small_mammals,small_mammals,True,0.238103,0.5,Q1
24,4758,spider,woman,non_insect_invertebrates,people,False,0.675995,0.4,Q1
25,88,apple,tractor,fruit_and_vegetables,vehicles_2,False,0.799385,0.619048,Q2
26,299,bear,bottle,large_carnivores,food_containers,False,0.736696,0.636364,Q2
27,550,bed,sea,household_furniture,large_natural_outdoor_scenes,False,0.775448,0.733333,Q2
28,656,bee,table,insects,household_furniture,False,0.73877,0.888889,Q2
29,868,bottle,cloud,food_containers,large_natural_outdoor_scenes,False,0.795229,0.75,Q2
30,872,bottle,crocodile,food_containers,reptiles,False,0.751279,0.636364,Q2
31,1816,chair,maple_tree,household_furniture,trees,False,0.773469,0.777778,Q2
32,1923,chimpanzee,skyscraper,large_omnivores_and_herbivores,large_man_made_outdoor_things,False,0.762193,0.666667,Q2
33,1941,chimpanzee,wardrobe,large_omnivores_and_herbivores,household_furniture,False,0.807476,0.68,Q2
34,1957,clock,forest,household_electrical_devices,large_natural_outdoor_scenes,False,0.806727,0.882353,Q2
35,2070,cloud,rose,large_natural_outdoor_scenes,flowers,False,0.759335,0.777778,Q2
36,2269,crab,maple_tree,non_insect_invertebrates,trees,False,0.721649,0.8,Q2
37,2280,crab,pickup_truck,non_insect_invertebrates,vehicles_1,False,0.745085,0.652174,Q2
38,2322,crocodile,cup,reptiles,food_containers,False,0.747225,0.619048,Q2
39,2462,cup,wolf,food_containers,large_carnivores,False,0.806575,0.636364,Q2
40,2791,forest,telephone,large_natural_outdoor_scenes,household_electrical_devices,False,0.835355,0.866667,Q2
41,3403,lion,turtle,large_carnivores,reptiles,False,0.716742,0.68,Q2
42,3730,mouse,palm_tree,small_mammals,trees,False,0.774515,0.8,Q2
43,3755,mouse,streetcar,small_mammals,vehicles_2,False,0.745843,0.652174,Q2
44,3822,oak_tree,orange,trees,fruit_and_vegetables,False,0.821873,0.647059,Q2
45,3878,orange,porcupine,fruit_and_vegetables,medium_mammals,False,0.885331,0.68,Q2
46,3931,orchid,sea,flowers,large_natural_outdoor_scenes,False,0.861732,0.764706,Q2
47,4437,ray,sweet_pepper,fish,fruit_and_vegetables,False,0.764475,0.888889,Q2
48,4515,rose,sea,flowers,large_natural_outdoor_scenes,False,0.79536,0.75,Q2
49,4765,squirrel,telephone,small_mammals,household_electrical_devices,False,0.764119,0.636364,Q2
50,27,apple,cup,fruit_and_vegetables,food_containers,False,0.716807,0.578947,Q3
51,128,aquarium_fish,elephant,fish,large_omnivores_and_herbivores,False,0.792498,0.25,Q3
52,525,bed,man,household_furniture,people,False,0.748537,0.578947,Q3
53,603,bee,elephant,insects,large_omnivores_and_herbivores,False,0.727096,0.44,Q3
54,648,bee,skyscraper,insects,large_man_made_outdoor_things,False,0.76619,0.6,Q3
55,884,bottle,keyboard,food_containers,household_electrical_devices,False,0.821888,0.333333,Q3
56,1084,boy,poppy,people,flowers,False,0.81003,0.428571,Q3
57,1187,bridge,snake,large_man_made_outdoor_things,reptiles,False,0.790226,0.578947,Q3
58,1926,chimpanzee,spider,large_omnivores_and_herbivores,non_insect_invertebrates,False,0.733792,0.481481,Q3
59,2013,clock,tractor,household_electrical_devices,vehicles_2,False,0.800138,0.428571,Q3
60,2109,cockroach,fox,insects,medium_mammals,False,0.784664,0.461538,Q3
61,2237,couch,tiger,household_furniture,large_carnivores,False,0.757521,0.555556,Q3
62,2460,cup,whale,food_containers,aquatic_mammals,False,0.785329,0.529412,Q3
63,2550,dolphin,man,aquatic_mammals,people,False,0.758323,0.52,Q3
64,2998,house,keyboard,large_man_made_outdoor_things,household_electrical_devices,False,0.755149,0.411765,Q3
65,3155,keyboard,skunk,household_electrical_devices,medium_mammals,False,0.879711,0.578947,Q3
66,3157,keyboard,snail,household_electrical_devices,non_insect_invertebrates,False,0.835303,0.6,Q3
67,3179,keyboard,worm,household_electrical_devices,non_insect_invertebrates,False,0.814776,0.555556,Q3
68,3383,lion,shark,large_carnivores,fish,False,0.777423,0.37931,Q3
69,3919,orchid,pine_tree,flowers,trees,False,0.828322,0.36,Q3
70,3932,orchid,seal,flowers,aquatic_mammals,False,0.767675,0.538462,Q3
71,3933,orchid,shark,flowers,fish,False,0.803978,0.538462,Q3
72,3955,orchid,whale,flowers,aquatic_mammals,False,0.836087,0.428571,Q3
73,4057,pear,road,fruit_and_vegetables,large_man_made_outdoor_things,False,0.790498,0.555556,Q3
74,4215,plate,road,food_containers,large_man_made_outdoor_things,False,0.824232,0.411765,Q3
75,281,baby,television,people,household_electrical_devices,False,0.671261,0.619048,Q4
76,408,beaver,cloud,aquatic_mammals,large_natural_outdoor_scenes,False,0.62022,0.764706,Q4
77,462,beaver,snail,aquatic_mammals,non_insect_invertebrates,False,0.474777,0.809524,Q4
78,604,bee,flatfish,insects,fish,False,0.619765,0.8,Q4
79,712,beetle,motorcycle,insects,vehicles_1,False,0.692655,0.636364,Q4
80,997,bowl,porcupine,food_containers,medium_mammals,False,0.61536,0.636364,Q4
81,1336,butterfly,palm_tree,insects,trees,False,0.668812,0.789474,Q4
82,1578,castle,mountain,large_man_made_outdoor_things,large_natural_outdoor_scenes,False,0.537413,0.625,Q4
83,1609,castle,squirrel,large_man_made_outdoor_things,small_mammals,False,0.603679,0.652174,Q4
84,1798,chair,dinosaur,household_furniture,reptiles,False,0.693337,0.652174,Q4
85,1968,clock,lizard,household_electrical_devices,reptiles,False,0.70125,0.666667,Q4
86,2312,crab,train,non_insect_invertebrates,vehicles_1,False,0.683321,0.619048,Q4
87,2326,crocodile,flatfish,reptiles,fish,False,0.389993,0.809524,Q4
88,2350,crocodile,palm_tree,reptiles,trees,False,0.633182,0.8,Q4
89,2385,crocodile,trout,reptiles,fish,False,0.489642,0.8,Q4
90,2701,flatfish,poppy,fish,flowers,False,0.70141,0.8,Q4
91,2780,forest,skunk,large_natural_outdoor_scenes,medium_mammals,False,0.552535,0.846154,Q4
92,3347,leopard,turtle,large_carnivores,reptiles,False,0.617302,0.8,Q4
93,3376,lion,raccoon,large_carnivores,medium_mammals,False,0.504489,0.84,Q4
94,3789,mushroom,ray,fruit_and_vegetables,fish,False,0.691125,0.888889,Q4
95,3973,otter,rocket,aquatic_mammals,vehicles_2,False,0.611723,0.789474,Q4
96,3979,otter,skunk,aquatic_mammals,medium_mammals,False,0.382485,0.764706,Q4
97,4045,palm_tree,woman,trees,people,False,0.65551,0.692308,Q4
98,4360,rabbit,sea,small_mammals,large_natural_outdoor_scenes,False,0.697814,0.789474,Q4
99,4834,table,tractor,household_furniture,vehicles_2,False,0.70997,0.875,Q4
