sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,c1_accuracy,c1_ci_low,c1_ci_high,mean_margin
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,0.8289,0.8169,0.8409,0.2489
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,0.8162,0.8007,0.8318,1.0987
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,0.8242,0.8102,0.8387,0.5377
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,0.3413,0.328,0.3542,1.237
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,0.9709,0.9613,0.9791,0.4115
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,0.9727,0.9627,0.9811,1.3146
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,0.9631,0.9509,0.9736,0.799
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,0.3431,0.3324,0.3542,1.2335
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,0.8933,0.8807,0.9062,0.234
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,0.8844,0.8722,0.896,0.8729
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,0.8882,0.8733,0.9036,0.4755
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,0.3267,0.3138,0.3398,1.2098
3,beetle,camel,willow_tree,tank,Q1,0.689702,0.44,centroid,0.8173,0.8036,0.8318,0.2258
3,beetle,camel,willow_tree,tank,Q1,0.689702,0.44,exemplar_knn_k3,0.81,0.7907,0.828,1.1056
3,beetle,camel,willow_tree,tank,Q1,0.689702,0.44,logreg,0.8473,0.8291,0.8664,0.5036
3,beetle,camel,willow_tree,tank,Q1,0.689702,0.44,random,0.3438,0.3302,0.3573,1.2555
4,bottle,television,snail,sea,Q1,0.659404,0.368421,centroid,0.9084,0.8973,0.9191,0.3097
4,bottle,television,snail,sea,Q1,0.659404,0.368421,exemplar_knn_k3,0.9024,0.8913,0.9127,1.1159
4,bottle,television,snail,sea,Q1,0.659404,0.368421,logreg,0.9133,0.8978,0.9284,0.6254
4,bottle,television,snail,sea,Q1,0.659404,0.368421,random,0.3387,0.3258,0.3518,1.2035
5,bowl,spider,caterpillar,porcupine,Q1,0.677936,0.6,centroid,0.8096,0.7967,0.8222,0.1948
5,bowl,spider,caterpillar,porcupine,Q1,0.677936,0.6,exemplar_knn_k3,0.7904,0.7758,0.804,0.7636
5,bowl,spider,caterpillar,porcupine,Q1,0.677936,0.6,logreg,0.81,0.7964,0.8236,0.4056
5,bowl,spider,caterpillar,porcupine,Q1,0.677936,0.6,random,0.3304,0.3164,0.3447,1.2199
6,castle,turtle,kangaroo,hamster,Q1,0.682951,0.5,centroid,0.8371,0.826,0.8489,0.2621
6,castle,turtle,kangaroo,hamster,Q1,0.682951,0.5,exemplar_knn_k3,0.8302,0.8182,0.8424,1.1608
6,castle,turtle,kangaroo,hamster,Q1,0.682951,0.5,logreg,0.8544,0.8396,0.8702,0.5615
6,castle,turtle,kangaroo,hamster,Q1,0.682951,0.5,random,0.3429,0.3287,0.3578,1.1884
7,chimpanzee,crab,snake,telephone,Q1,0.645166,0.5,centroid,0.8862,0.8711,0.9022,0.2948
7,chimpanzee,crab,snake,telephone,Q1,0.645166,0.5,exemplar_knn_k3,0.8847,0.8722,0.8978,1.1078
7,chimpanzee,crab,snake,telephone,Q1,0.645166,0.5,logreg,0.8678,0.8504,0.8869,0.6048
7,chimpanzee,crab,snake,telephone,Q1,0.645166,0.5,random,0.3258,0.3124,0.3396,1.2277
8,chimpanzee,kangaroo,butterfly,flatfish,Q1,0.654223,0.310345,centroid,0.8353,0.8222,0.8482,0.203
8,chimpanzee,kangaroo,butterfly,flatfish,Q1,0.654223,0.310345,exemplar_knn_k3,0.8409,0.8269,0.8544,0.7895
8,chimpanzee,kangaroo,butterfly,flatfish,Q1,0.654223,0.310345,logreg,0.8076,0.7978,0.8176,0.4251
8,chimpanzee,kangaroo,butterfly,flatfish,Q1,0.654223,0.310345,random,0.332,0.3198,0.3444,1.2542
9,clock,motorcycle,streetcar,lobster,Q1,0.710248,0.454545,centroid,0.858,0.8444,0.8722,0.2799
9,clock,motorcycle,streetcar,lobster,Q1,0.710248,0.454545,exemplar_knn_k3,0.862,0.8478,0.8773,1.0201
9,clock,motorcycle,streetcar,lobster,Q1,0.710248,0.454545,logreg,0.8313,0.8202,0.8433,0.5753
9,clock,motorcycle,streetcar,lobster,Q1,0.710248,0.454545,random,0.3336,0.3222,0.3453,1.2065
10,crocodile,kangaroo,caterpillar,fox,Q1,0.433903,0.307692,centroid,0.8362,0.8202,0.8527,0.2165
10,crocodile,kangaroo,caterpillar,fox,Q1,0.433903,0.307692,exemplar_knn_k3,0.8156,0.8009,0.8307,0.9333
10,crocodile,kangaroo,caterpillar,fox,Q1,0.433903,0.307692,logreg,0.8247,0.8138,0.836,0.4791
10,crocodile,kangaroo,caterpillar,fox,Q1,0.433903,0.307692,random,0.3391,0.3282,0.3498,1.2355
11,crocodile,skunk,man,cup,Q1,0.446824,0.478261,centroid,0.9558,0.9456,0.9651,0.2615
11,crocodile,skunk,man,cup,Q1,0.446824,0.478261,exemplar_knn_k3,0.9553,0.946,0.964,1.0171
11,crocodile,skunk,man,cup,Q1,0.446824,0.478261,logreg,0.9429,0.9276,0.9562,0.5267
11,crocodile,skunk,man,cup,Q1,0.446824,0.478261,random,0.3427,0.3316,0.3533,1.2253
12,cup,plate,bridge,seal,Q1,0.544535,0.2,centroid,0.9529,0.942,0.9631,0.2465
12,cup,plate,bridge,seal,Q1,0.544535,0.2,exemplar_knn_k3,0.9518,0.9433,0.96,0.9479
12,cup,plate,bridge,seal,Q1,0.544535,0.2,logreg,0.9416,0.9258,0.9564,0.4986
